gRNA	HL60.initial
FAM134C_m40761179	285
FAM134C_m40761205	119
FAM134C_m40761224	957
FAM134C_m40761233	615
FAM134C_m40761251	635
FAM134C_m40761257	715
FAM134C_m40761327	764
FAM134C_p40761169	37
FAM134C_p40761237	69
FAM135A_m71185405	1607
FAM135A_m71186881	136
FAM135A_m71186900	1165
FAM135A_m71186927	497
FAM135A_p71138044	1120
FAM135A_p71138059	1013
FAM135A_p71138083	121
FAM135A_p71138099	586
FAM135A_p71185230	483
FAM135A_p71185361	184
FAM135B_m139323093	83
FAM135B_m139380151	309
FAM135B_m139380207	556
FAM135B_m139380212	659
FAM135B_p139278052	945
FAM135B_p139323078	441
FAM135B_p139323096	914
FAM135B_p139323120	938
FAM135B_p139323128	1048
FAM135B_p139323134	483
FAM136A_m70524602	477
FAM136A_m70528018	1612
FAM136A_m70529097	259
FAM136A_m70529115	869
FAM136A_m70529121	346
FAM136A_p70528040	535
FAM136A_p70528048	267
FAM136A_p70528078	663
FAM136A_p70528093	473
FAM136A_p70529100	677
FAM13A_m89708931	65
FAM13A_m89708937	261
FAM13A_m89708993	330
FAM13A_m89709006	271
FAM13A_m89709020	594
FAM13A_p89708917	621
FAM13A_p89708922	261
FAM13A_p89708947	111
FAM13A_p89709042	100
FAM13A_p89709064	298
FAM13B_m137346824	253
FAM13B_m137347474	729
FAM13B_m137347487	306
FAM13B_m137347503	447
FAM13B_m137347599	530
FAM13B_m137353992	224
FAM13B_p137347447	530
FAM13B_p137347476	1945
FAM13B_p137347509	463
FAM13B_p137347571	425
FAM13C_m61083819	1763
FAM13C_m61083853	332
FAM13C_m61112031	659
FAM13C_m61112042	484
FAM13C_m61112050	226
FAM13C_m61112086	919
FAM13C_p61083824	596
FAM13C_p61112022	78
FAM13C_p61112056	870
FAM13C_p61112065	652
FAM149A_m187073147	181
FAM149A_m187073189	826
FAM149A_m187074822	341
FAM149A_m187074827	507
FAM149A_p187073104	638
FAM149A_p187073136	610
FAM149A_p187073177	517
FAM149A_p187074784	334
FAM149A_p187074814	438
FAM149A_p187074831	573
FAM149B1_m74928130	803
FAM149B1_m74934483	284
FAM149B1_m74937644	421
FAM149B1_m74952345	938
FAM149B1_m74952448	266
FAM149B1_p74928095	363
FAM149B1_p74928102	823
FAM149B1_p74934527	681
FAM149B1_p74937690	301
FAM149B1_p74937701	450
FAM150B_m287649	416
FAM150B_m287675	418
FAM150B_m287691	422
FAM150B_m287699	491
FAM150B_m287714	542
FAM150B_m287721	662
FAM150B_m287823	1533
FAM150B_p287660	355
FAM150B_p287678	622
FAM150B_p287729	116
FAM151A_m55088995	393
FAM151A_m55089018	942
FAM151A_m55089037	200
FAM151A_m55089058	315
FAM151A_p55088941	306
FAM151A_p55088948	398
FAM151A_p55088953	706
FAM151A_p55088963	662
FAM151A_p55088987	488
FAM151A_p55089047	507
FAM154A_m18950804	268
FAM154A_m19032870	1396
FAM154A_p18950796	264
FAM154A_p18950806	605
FAM154A_p18950814	885
FAM154A_p18950827	437
FAM154A_p18950838	726
FAM154A_p18950847	273
FAM154A_p18950860	219
FAM154A_p19032886	526
FAM154B_m82563959	87
FAM154B_m82563980	626
FAM154B_m82563985	320
FAM154B_m82564038	301
FAM154B_p82555218	1843
FAM154B_p82555224	1170
FAM154B_p82555250	368
FAM154B_p82564007	515
FAM154B_p82564023	619
FAM154B_p82564054	764
FAM155A_m108518736	325
FAM155A_m108518742	63
FAM155A_m108518749	863
FAM155A_m108518763	236
FAM155A_m108518820	545
FAM155A_m108518906	708
FAM155A_p108518772	302
FAM155A_p108518827	133
FAM155A_p108518840	504
FAM155A_p108518856	270
FAM155B_m68725152	119
FAM155B_m68725165	751
FAM155B_m68725206	1236
FAM155B_m68725212	1087
FAM155B_m68725231	301
FAM155B_m68725237	401
FAM155B_m68725264	1203
FAM155B_p68725186	306
FAM155B_p68725219	291
FAM155B_p68725244	207
FAM159A_m53099178	220
FAM159A_m53099275	488
FAM159A_m53099281	324
FAM159A_m53099318	609
FAM159A_p53099182	292
FAM159A_p53099188	604
FAM159A_p53099195	604
FAM159A_p53099211	845
FAM159A_p53099216	428
FAM159A_p53099246	32
FAM160A1_m152487446	786
FAM160A1_m152487476	162
FAM160A1_m152487506	450
FAM160A1_m152498631	0
FAM160A1_m152498666	139
FAM160A1_m152498680	816
FAM160A1_m152498686	712
FAM160A1_p152487401	757
FAM160A1_p152487428	326
FAM160A1_p152498654	161
FAM160A2_m6245617	885
FAM160A2_m6245634	699
FAM160A2_m6245683	144
FAM160A2_m6245709	563
FAM160A2_m6245718	460
FAM160A2_m6245740	1244
FAM160A2_p6245620	983
FAM160A2_p6245626	799
FAM160A2_p6245642	872
FAM160A2_p6245727	152
FAM160B1_m116581847	380
FAM160B1_m116581856	670
FAM160B1_m116581863	744
FAM160B1_m116581874	876
FAM160B1_m116590619	346
FAM160B1_m116590668	431
FAM160B1_m116593004	568
FAM160B1_m116593012	344
FAM160B1_m116593026	876
FAM160B1_p116593034	530
FAM160B2_m21953861	372
FAM160B2_p21946753	170
FAM160B2_p21946758	154
FAM160B2_p21946781	756
FAM160B2_p21951955	750
FAM160B2_p21951964	379
FAM160B2_p21951972	1412
FAM160B2_p21951977	534
FAM160B2_p21952007	505
FAM160B2_p21953865	1259
FAM161A_m62081037	359
FAM161A_m62081049	418
FAM161A_m62081100	858
FAM161A_m62081148	348
FAM161A_m62081157	411
FAM161A_p62081040	240
FAM161A_p62081051	434
FAM161A_p62081092	586
FAM161A_p62081102	517
FAM161A_p62081139	217
FAM161B_m74413257	590
FAM161B_m74413268	857
FAM161B_m74413273	473
FAM161B_m74416721	909
FAM161B_p74413209	1023
FAM161B_p74413215	422
FAM161B_p74413275	645
FAM161B_p74416749	1487
FAM161B_p74416758	789
FAM161B_p74416778	336
FAM162A_m122103138	442
FAM162A_m122121642	617
FAM162A_m122121660	231
FAM162A_m122121704	128
FAM162A_m122121716	382
FAM162A_p122103117	777
FAM162A_p122103124	102
FAM162A_p122121630	358
FAM162A_p122121665	65
FAM162A_p122123117	388
FAM162B_m117086683	592
FAM162B_m117086700	221
FAM162B_m117086707	1062
FAM162B_m117086724	770
FAM162B_m117086729	1133
FAM162B_p117086340	587
FAM162B_p117086377	385
FAM162B_p117086555	146
FAM162B_p117086647	554
FAM162B_p117086687	427
FAM163A_m179782270	758
FAM163A_m179782285	611
FAM163A_m179782306	456
FAM163A_p179782219	347
FAM163A_p179782225	648
FAM163A_p179782238	578
FAM163A_p179782255	891
FAM163A_p179782296	154
FAM163A_p179782913	263
FAM163A_p179782921	1238
FAM163B_m136444511	1069
FAM163B_m136444520	678
FAM163B_m136444526	578
FAM163B_m136444535	591
FAM163B_m136445254	331
FAM163B_m136445261	479
FAM163B_m136445329	528
FAM163B_p136444483	218
FAM163B_p136445239	142
FAM163B_p136445315	348
FAM166A_m140140245	781
FAM166A_m140140269	354
FAM166A_m140140299	1591
FAM166A_m140142113	63
FAM166A_m140142133	48
FAM166A_p140140154	151
FAM166A_p140140160	596
FAM166A_p140140166	223
FAM166A_p140140277	457
FAM166A_p140142105	1042
FAM167A_m11301839	136
FAM167A_m11301876	799
FAM167A_m11301888	296
FAM167A_p11301797	599
FAM167A_p11301802	404
FAM167A_p11301811	315
FAM167A_p11301817	575
FAM167A_p11301823	151
FAM167A_p11301830	606
FAM167A_p11301880	403
FAM168A_m73131021	469
FAM168A_m73131026	951
FAM168A_m73141736	2
FAM168A_m73179461	289
FAM168A_p73141726	395
FAM168A_p73141738	438
FAM168A_p73141763	252
FAM168A_p73141786	562
FAM168A_p73179435	70
FAM168A_p73179448	624
FAM168B_m131829453	205
FAM168B_m131840160	1130
FAM168B_m131840166	329
FAM168B_m131840189	309
FAM168B_m131840199	210
FAM168B_p131829432	346
FAM168B_p131829444	803
FAM168B_p131829456	381
FAM168B_p131829479	874
FAM168B_p131840147	73
FAM169A_m74135954	315
FAM169A_m74137414	1590
FAM169A_m74137420	765
FAM169A_m74137455	897
FAM169A_m74137479	528
FAM169A_m74137488	1156
FAM169A_p74135894	312
FAM169A_p74135942	334
FAM169A_p74135964	408
FAM169A_p74135972	28
FAM171A1_m15412978	951
FAM171A1_m15412996	623
FAM171A1_m15413016	352
FAM171A1_p15326085	279
FAM171A1_p15412943	288
FAM171A1_p15412949	762
FAM171A1_p15412967	771
FAM171A1_p15412987	35
FAM171A1_p15412999	692
FAM171A1_p15413018	603
FAM171A2_m42437482	1113
FAM171A2_m42437488	303
FAM171A2_m42440985	251
FAM171A2_m42441006	70
FAM171A2_m42441032	137
FAM171A2_p42440949	510
FAM171A2_p42440954	495
FAM171A2_p42440977	440
FAM171A2_p42440989	315
FAM171A2_p42441040	715
FAM171B_m187558927	606
FAM171B_m187558934	1544
FAM171B_m187558947	673
FAM171B_m187558981	139
FAM171B_m187558988	794
FAM171B_m187559007	958
FAM171B_m187559012	675
FAM171B_p187558886	376
FAM171B_p187558895	488
FAM171B_p187558949	943
FAM172A_m93159875	275
FAM172A_m93159918	141
FAM172A_m93159936	490
FAM172A_m93300200	290
FAM172A_m93386437	885
FAM172A_p93159938	573
FAM172A_p93217314	91
FAM172A_p93386464	379
FAM172A_p93388839	240
FAM172A_p93388847	386
FAM173A_m771359	1471
FAM173A_m771377	1474
FAM173A_p771261	148
FAM173A_p771270	1693
FAM173A_p771276	81
FAM173A_p771285	1184
FAM173A_p771299	348
FAM173A_p771307	357
FAM173A_p771330	2
FAM173A_p771365	500
FAM173B_m10239200	876
FAM173B_m10239207	826
FAM173B_m10239339	366
FAM173B_m10239350	470
FAM173B_m10249971	667
FAM173B_m10249977	702
FAM173B_p10239248	282
FAM173B_p10239293	269
FAM173B_p10239298	267
FAM173B_p10239321	781
FAM174A_m99871244	692
FAM174A_m99871269	1660
FAM174A_m99871290	647
FAM174A_m99871323	195
FAM174A_m99871352	938
FAM174A_p99871254	543
FAM174A_p99871294	341
FAM174A_p99871326	441
FAM174A_p99871342	772
FAM174A_p99871364	335
FAM174B_m93198834	640
FAM174B_p93198751	457
FAM174B_p93198757	319
FAM174B_p93198764	149
FAM174B_p93198769	569
FAM174B_p93198775	768
FAM174B_p93198781	763
FAM174B_p93198790	536
FAM174B_p93198795	512
FAM174B_p93198837	557
FAM175A_m84391537	452
FAM175A_m84403308	315
FAM175A_m84406140	508
FAM175A_m84406146	345
FAM175A_m84406152	522
FAM175A_m84406181	175
FAM175A_m84406193	482
FAM175A_m84406220	691
FAM175A_p84397813	214
FAM175A_p84403340	383
FAM175B_m126490411	517
FAM175B_m126490426	100
FAM175B_m126490445	1206
FAM175B_m126490453	1559
FAM175B_m126505151	447
FAM175B_p126490394	227
FAM175B_p126495410	1704
FAM175B_p126495468	908
FAM175B_p126507961	557
FAM175B_p126507970	731
FAM177A1_m35515746	870
FAM177A1_m35515753	178
FAM177A1_m35522563	198
FAM177A1_m35522645	285
FAM177A1_m35548145	217
FAM177A1_m35548184	724
FAM177A1_m35548193	818
FAM177A1_p35515734	637
FAM177A1_p35522477	529
FAM177A1_p35546400	238
FAM177B_m222919907	423
FAM177B_m222919919	50
FAM177B_m222922819	0
FAM177B_m222922859	423
FAM177B_p222919878	465
FAM177B_p222919985	465
FAM177B_p222919991	767
FAM177B_p222922802	816
FAM177B_p222922823	262
FAM177B_p222922869	849
FAM178A_m102672935	386
FAM178A_m102672944	533
FAM178A_m102672954	842
FAM178A_m102672964	99
FAM178A_p102672853	270
FAM178A_p102672871	516
FAM178A_p102672876	540
FAM178A_p102672956	503
FAM178A_p102672978	1665
FAM178A_p102676352	657
FAM178B_m97559664	211
FAM178B_m97559703	550
FAM178B_m97559730	441
FAM178B_m97559740	455
FAM178B_p97559656	165
FAM178B_p97559669	803
FAM178B_p97559682	308
FAM178B_p97559687	442
FAM178B_p97559695	433
FAM178B_p97559709	1511
FAM179B_m45431639	810
FAM179B_m45431660	227
FAM179B_m45431674	200
FAM179B_m45431682	641
FAM179B_m45431692	732
FAM179B_m45431716	331
FAM179B_m45431807	1396
FAM179B_p45431664	343
FAM179B_p45431718	369
FAM179B_p45431764	706
FAM180A_m135421915	536
FAM180A_m135421924	391
FAM180A_m135433255	1190
FAM180A_m135433262	358
FAM180A_m135433282	462
FAM180A_p135421868	916
FAM180A_p135421877	964
FAM180A_p135421888	468
FAM180A_p135421898	1066
FAM180A_p135421905	57
FAM180B_m47608333	766
FAM180B_m47608343	558
FAM180B_m47608352	455
FAM180B_m47608373	371
FAM180B_m47608399	684
FAM180B_m47609301	212
FAM180B_p47608322	1256
FAM180B_p47608356	484
FAM180B_p47609306	627
FAM180B_p47609313	380
FAM181A_m94394641	617
FAM181A_m94394678	459
FAM181A_m94394686	776
FAM181A_m94394704	85
FAM181A_m94394716	242
FAM181A_m94394721	718
FAM181A_m94394726	303
FAM181A_m94394734	1007
FAM181A_m94394741	437
FAM181A_p94394657	497
FAM181B_m82444603	578
FAM181B_m82444642	1319
FAM181B_m82444656	219
FAM181B_m82444717	184
FAM181B_m82444724	273
FAM181B_m82444758	341
FAM181B_p82444560	2016
FAM181B_p82444613	1198
FAM181B_p82444666	385
FAM181B_p82444728	670
FAM183A_m43613696	665
FAM183A_m43613713	475
FAM183A_m43613746	572
FAM183A_m43616484	600
FAM183A_m43618497	114
FAM183A_p43613607	752
FAM183A_p43613639	1051
FAM183A_p43613678	612
FAM183A_p43616425	741
FAM183A_p43616469	317
FAM184A_m119345458	665
FAM184A_m119345464	914
FAM184A_m119345496	161
FAM184A_m119345521	786
FAM184A_m119345551	743
FAM184A_m119345651	1211
FAM184A_m119345728	1321
FAM184A_p119345486	232
FAM184A_p119345671	718
FAM184A_p119345680	551
FAM184B_m17711230	189
FAM184B_m17711236	591
FAM184B_m17711242	2
FAM184B_m17782840	419
FAM184B_m17782847	399
FAM184B_m17782857	536
FAM184B_p17711221	517
FAM184B_p17782829	88
FAM184B_p17782865	367
FAM184B_p17782870	393
FAM185A_m102389666	666
FAM185A_m102389768	792
FAM185A_m102401768	54
FAM185A_p102389719	174
FAM185A_p102389727	165
FAM185A_p102389759	484
FAM185A_p102389772	431
FAM185A_p102389777	1029
FAM185A_p102389810	514
FAM185A_p102412859	568
FAM186B_m49998260	599
FAM186B_m49999166	839
FAM186B_m49999175	755
FAM186B_m49999200	582
FAM186B_p49998239	599
FAM186B_p49998245	319
FAM186B_p49999181	511
FAM186B_p49999188	960
FAM186B_p49999203	934
FAM186B_p49999219	558
FAM188A_m15885222	654
FAM188A_m15889864	599
FAM188A_m15889893	387
FAM188A_m15889920	919
FAM188A_m15902261	490
FAM188A_m15902267	932
FAM188A_m15902273	373
FAM188A_p15889848	209
FAM188A_p15889866	255
FAM188A_p15902195	378
FAM188B_m30811140	572
FAM188B_m30811146	298
FAM188B_m30811162	626
FAM188B_p30811105	489
FAM188B_p30811111	397
FAM188B_p30811126	475
FAM188B_p30811131	391
FAM188B_p30811150	380
FAM188B_p30818052	1282
FAM188B_p30818058	541
FAM189A1_m29862752	682
FAM189A1_m29862767	394
FAM189A1_m29862788	500
FAM189A1_m29862850	223
FAM189A1_p29862773	1869
FAM189A1_p29862795	781
FAM189A1_p29862819	622
FAM189A1_p29862824	907
FAM189A1_p29862829	1245
FAM189A1_p29862857	202
FAM189A2_m71951173	547
FAM189A2_m71986452	290
FAM189A2_m71986493	706
FAM189A2_m71986505	174
FAM189A2_m71986513	621
FAM189A2_p71986419	449
FAM189A2_p71986444	163
FAM189A2_p71986456	675
FAM189A2_p71986465	413
FAM189A2_p71990639	139
FAM189B_m155224558	221
FAM189B_m155224613	835
FAM189B_p155224560	796
FAM189B_p155224565	212
FAM189B_p155224571	148
FAM189B_p155224577	300
FAM189B_p155224586	241
FAM189B_p155224619	606
FAM189B_p155224633	778
FAM189B_p155224638	1297
FAM192A_m57188397	134
FAM192A_m57201006	597
FAM192A_m57201121	541
FAM192A_m57206705	1303
FAM192A_m57206774	620
FAM192A_m57207761	589
FAM192A_p57197908	110
FAM192A_p57201020	282
FAM192A_p57201046	54
FAM192A_p57207632	566
FAM193A_m2632785	348
FAM193A_m2632802	211
FAM193A_m2632817	1458
FAM193A_p2632729	891
FAM193A_p2632739	121
FAM193A_p2632745	709
FAM193A_p2632751	0
FAM193A_p2632757	1189
FAM193A_p2632767	304
FAM193A_p2632775	760
FAM193B_m176981295	368
FAM193B_m176981320	273
FAM193B_m176981331	370
FAM193B_m176981343	352
FAM193B_m176981424	1512
FAM193B_m176981430	1537
FAM193B_m176981441	571
FAM193B_m176981447	124
FAM193B_m176981453	1083
FAM193B_p176981334	283
FAM194A_m150421441	770
FAM194A_m150421447	162
FAM194A_m150421503	2038
FAM194A_m150421606	1424
FAM194A_m150421656	497
FAM194A_p150421455	210
FAM194A_p150421612	146
FAM194A_p150421644	277
FAM194A_p150421658	386
FAM194A_p150421664	475
FAM194B_m46170944	552
FAM194B_m46170950	312
FAM194B_m46170956	597
FAM194B_m46171010	385
FAM194B_m46171022	925
FAM194B_m46171046	272
FAM194B_p46170967	296
FAM194B_p46171036	35
FAM194B_p46171050	657
FAM194B_p46171058	306
FAM195A_m692015	300
FAM195A_m692038	333
FAM195A_m692147	137
FAM195A_m692162	383
FAM195A_p691987	789
FAM195A_p692114	630
FAM195A_p692120	1204
FAM195A_p692125	288
FAM195A_p692130	622
FAM195A_p692149	858
FAM195B_m79781377	1044
FAM195B_m79781382	488
FAM195B_m79782164	470
FAM195B_m79782247	672
FAM195B_m79782254	350
FAM195B_p79782156	752
FAM195B_p79782171	646
FAM195B_p79782176	662
FAM195B_p79782199	0
FAM195B_p79782204	1005
FAM196A_m128974518	501
FAM196A_m128974589	185
FAM196A_m128974607	920
FAM196A_m128974619	983
FAM196A_m128974649	1280
FAM196A_p128974505	261
FAM196A_p128974562	477
FAM196A_p128974568	69
FAM196A_p128974578	25
FAM196A_p128974638	598
FAM196B_m169310776	793
FAM196B_m169310796	100
FAM196B_m169310812	136
FAM196B_p169310712	157
FAM196B_p169310730	597
FAM196B_p169310738	797
FAM196B_p169310749	456
FAM196B_p169310778	221
FAM196B_p169310801	497
FAM196B_p169310852	137
FAM198A_m43073772	500
FAM198A_m43073800	850
FAM198A_m43073817	693
FAM198A_m43073829	630
FAM198A_m43073859	781
FAM198A_p43073744	778
FAM198A_p43073750	372
FAM198A_p43073764	436
FAM198A_p43073774	798
FAM198A_p43073866	73
FAM198B_m159092431	625
FAM198B_m159092440	419
FAM198B_m159092463	298
FAM198B_m159092507	318
FAM198B_p159092394	367
FAM198B_p159092403	575
FAM198B_p159092411	447
FAM198B_p159092418	1
FAM198B_p159092444	663
FAM198B_p159092454	580
FAM199X_m103411473	370
FAM199X_m103411482	371
FAM199X_m103411488	137
FAM199X_m103411517	709
FAM199X_m103411526	404
FAM199X_m103411531	620
FAM199X_p103411456	64
FAM199X_p103411462	253
FAM199X_p103411552	623
FAM199X_p103411558	399
FAM19A1_m68055801	668
FAM19A1_m68055840	534
FAM19A1_m68055848	322
FAM19A1_m68055864	210
FAM19A1_m68055876	1087
FAM19A1_p68055756	452
FAM19A1_p68055773	1286
FAM19A1_p68055788	621
FAM19A1_p68055820	468
FAM19A1_p68466414	686
FAM19A2_m62148654	768
FAM19A2_m62148687	164
FAM19A2_m62148694	711
FAM19A2_m62148731	994
FAM19A2_m62148772	582
FAM19A2_m62261136	949
FAM19A2_p62148659	1080
FAM19A2_p62148678	615
FAM19A2_p62148742	267
FAM19A2_p62261098	404
FAM19A3_m113264914	154
FAM19A3_p113264844	669
FAM19A3_p113264853	477
FAM19A3_p113264859	1316
FAM19A3_p113264866	640
FAM19A3_p113264874	704
FAM19A3_p113264881	895
FAM19A3_p113264893	491
FAM19A3_p113264898	494
FAM19A3_p113264904	1366
FAM19A4_m68802122	745
FAM19A4_m68802136	250
FAM19A4_m68802149	1013
FAM19A4_m68929892	430
FAM19A4_m68929934	643
FAM19A4_m68929959	395
FAM19A4_p68802107	254
FAM19A4_p68802139	126
FAM19A4_p68929923	1091
FAM19A4_p68929977	931
FAM19A5_m49042420	471
FAM19A5_m49042444	119
FAM19A5_m49042463	509
FAM19A5_m49042483	1174
FAM19A5_m49042492	447
FAM19A5_p49042394	125
FAM19A5_p49042401	61
FAM19A5_p49042424	51
FAM19A5_p49042429	660
FAM19A5_p49042447	186
FAM200A_m99145762	166
FAM200A_m99145819	111
FAM200A_m99145948	551
FAM200A_m99145954	322
FAM200A_m99145991	194
FAM200A_m99146014	229
FAM200A_p99145829	181
FAM200A_p99145869	745
FAM200A_p99145960	895
FAM200A_p99146001	729
FAM200B_m15688724	568
FAM200B_m15689185	112
FAM200B_m15689283	515
FAM200B_m15689393	492
FAM200B_p15688660	353
FAM200B_p15689049	181
FAM200B_p15689112	480
FAM200B_p15689242	281
FAM200B_p15689324	994
FAM200B_p15689383	51
FAM204A_m120095093	206
FAM204A_m120095830	470
FAM204A_m120095844	292
FAM204A_m120095854	670
FAM204A_m120095872	982
FAM204A_p120094681	934
FAM204A_p120094694	72
FAM204A_p120095687	0
FAM204A_p120095878	72
FAM204A_p120095883	167
FAM205A_m34726978	855
FAM205A_m34728064	450
FAM205A_m34729371	534
FAM205A_p34726910	663
FAM205A_p34726949	278
FAM205A_p34726962	1132
FAM205A_p34728024	854
FAM205A_p34728043	374
FAM205A_p34729297	338
FAM205A_p34729361	586
FAM206A_m111696767	46
FAM206A_m111696776	180
FAM206A_m111696781	335
FAM206A_m111696788	285
FAM206A_m111696805	897
FAM206A_p111696792	491
FAM206A_p111696822	197
FAM206A_p111697947	637
FAM206A_p111698584	895
FAM206A_p111698612	356
FAM207A_m46360000	744
FAM207A_m46360010	545
FAM207A_m46363738	1268
FAM207A_p46359989	1013
FAM207A_p46363662	2804
FAM207A_p46363680	1106
FAM207A_p46363685	107
FAM207A_p46363690	392
FAM207A_p46363707	1037
FAM207A_p46363725	996
FAM208A_m56683014	1169
FAM208A_m56683059	778
FAM208A_m56683068	178
FAM208A_m56694796	378
FAM208A_m56694823	676
FAM208A_m56694943	557
FAM208A_p56682873	1265
FAM208A_p56682886	200
FAM208A_p56683050	1108
FAM208A_p56694928	242
FAM208B_m5762876	210
FAM208B_m5762905	398
FAM208B_m5762925	172
FAM208B_p5762827	606
FAM208B_p5762832	398
FAM208B_p5762878	358
FAM208B_p5762889	501
FAM208B_p5765718	225
FAM208B_p5766405	1477
FAM208B_p5766427	524
FAM209A_m55100874	179
FAM209A_m55100879	269
FAM209A_m55100891	825
FAM209A_m55100931	1268
FAM209A_m55100956	106
FAM209A_p55099970	662
FAM209A_p55099976	341
FAM209A_p55100865	182
FAM209A_p55100939	92
FAM209A_p55100948	723
FAM209B_m55108540	593
FAM209B_m55111239	548
FAM209B_m55111247	628
FAM209B_m55111259	739
FAM209B_p55108503	556
FAM209B_p55108509	553
FAM209B_p55111319	535
FAM209B_p55111359	1
FAM209B_p55111367	263
FAM209B_p55111380	954
FAM20A_m66551791	259
FAM20A_m66551843	199
FAM20A_p66551731	487
FAM20A_p66551736	930
FAM20A_p66551741	1207
FAM20A_p66551756	1171
FAM20A_p66551771	93
FAM20A_p66551780	92
FAM20A_p66551801	847
FAM20A_p66551812	948
FAM20B_m179013095	330
FAM20B_m179013103	937
FAM20B_m179013110	348
FAM20B_m179013144	1189
FAM20B_m179013160	506
FAM20B_p179013064	552
FAM20B_p179013076	319
FAM20B_p179013116	755
FAM20B_p179013128	353
FAM20B_p179013151	355
FAM20C_m193200	1841
FAM20C_m193222	1606
FAM20C_m193228	1587
FAM20C_m193240	2235
FAM20C_m193252	746
FAM20C_m193260	155
FAM20C_m193285	686
FAM20C_p193192	533
FAM20C_p193231	326
FAM20C_p193272	351
FAM210A_m13681865	445
FAM210A_m13681872	701
FAM210A_m13681880	944
FAM210A_m13681943	252
FAM210A_m13682008	819
FAM210A_m13682024	933
FAM210A_m13682034	509
FAM210A_m13682058	1198
FAM210A_p13681996	685
FAM210A_p13682038	765
FAM210B_m54934062	792
FAM210B_m54934117	637
FAM210B_m54934182	221
FAM210B_m54934193	122
FAM210B_p54934046	664
FAM210B_p54934054	511
FAM210B_p54934064	359
FAM210B_p54934069	962
FAM210B_p54934077	633
FAM210B_p54934185	446
FAM211A_m16395118	588
FAM211A_m16395135	535
FAM211A_m16395193	249
FAM211A_m16395216	669
FAM211A_m16395273	1279
FAM211A_m16395284	639
FAM211A_p16395108	828
FAM211A_p16395126	418
FAM211A_p16395203	678
FAM211A_p16395265	847
FAM211B_m24988831	316
FAM211B_m24988907	361
FAM211B_m24988960	436
FAM211B_p24988834	916
FAM211B_p24988845	236
FAM211B_p24988870	506
FAM211B_p24988879	397
FAM211B_p24988894	476
FAM211B_p24988910	261
FAM211B_p24988952	188
FAM212A_m49840866	237
FAM212A_m49841656	205
FAM212A_m49841664	982
FAM212A_m49841671	324
FAM212A_m49841681	331
FAM212A_p49840817	811
FAM212A_p49840847	314
FAM212A_p49840854	280
FAM212A_p49841610	39
FAM212A_p49841628	414
FAM212B_m112270273	88
FAM212B_m112270306	144
FAM212B_m112270320	430
FAM212B_m112270344	675
FAM212B_m112270373	450
FAM212B_m112270395	712
FAM212B_m112270409	911
FAM212B_p112270277	392
FAM212B_p112270323	455
FAM212B_p112270399	343
FAM213A_m82180302	993
FAM213A_m82180320	337
FAM213A_m82180359	451
FAM213A_m82182232	835
FAM213A_m82182243	824
FAM213A_m82182254	875
FAM213A_p82180267	274
FAM213A_p82182173	407
FAM213A_p82182181	193
FAM213A_p82182214	562
FAM213B_m2518256	136
FAM213B_m2518306	447
FAM213B_m2518322	576
FAM213B_m2518341	519
FAM213B_p2518226	173
FAM213B_p2518248	207
FAM213B_p2518296	411
FAM213B_p2518311	326
FAM213B_p2518329	566
FAM213B_p2518353	1336
FAM214A_m52905871	137
FAM214A_m52905877	574
FAM214A_m52906003	386
FAM214A_m52906012	289
FAM214A_p52903941	529
FAM214A_p52903946	128
FAM214A_p52905888	153
FAM214A_p52905906	691
FAM214A_p52905977	481
FAM214A_p52970189	382
FAM214B_m35108081	574
FAM214B_m35108154	941
FAM214B_m35108170	791
FAM214B_m35108228	272
FAM214B_m35108255	607
FAM214B_p35108065	783
FAM214B_p35108073	759
FAM214B_p35108083	308
FAM214B_p35108217	289
FAM214B_p35108243	624
FAM216A_m110906700	316
FAM216A_m110906756	384
FAM216A_m110906788	245
FAM216A_p110906685	446
FAM216A_p110906692	360
FAM216A_p110906716	322
FAM216A_p110906727	361
FAM216A_p110906775	532
FAM216A_p110906780	65
FAM216A_p110906791	435
FAM217A_m4073692	954
FAM217A_m4073722	801
FAM217A_m4073734	326
FAM217A_m4074812	1108
FAM217A_m4074824	279
FAM217A_m4074876	799
FAM217A_m4077590	445
FAM217A_p4073703	899
FAM217A_p4074815	363
FAM217A_p4077593	940
FAM217B_m58519476	723
FAM217B_m58519515	645
FAM217B_m58519660	352
FAM217B_m58519759	134
FAM217B_m58519771	974
FAM217B_m58519801	540
FAM217B_m58519808	783
FAM217B_p58519545	397
FAM217B_p58519690	50
FAM217B_p58519695	1185
FAM219A_m34405915	655
FAM219A_m34405920	1117
FAM219A_m34458236	52
FAM219A_m34458254	578
FAM219A_p34405898	894
FAM219A_p34405923	844
FAM219A_p34405929	1121
FAM219A_p34405936	218
FAM219A_p34458221	684
FAM219A_p34458240	211
FAM219B_m75198697	513
FAM219B_m75199007	587
FAM219B_m75199120	527
FAM219B_p75198687	1419
FAM219B_p75198913	513
FAM219B_p75198922	397
FAM219B_p75198947	539
FAM219B_p75199015	425
FAM219B_p75199022	244
FAM219B_p75199102	202
FAM220A_m6370576	2034
FAM220A_m6370610	267
FAM220A_m6370627	446
FAM220A_m6370671	634
FAM220A_m6370718	463
FAM220A_m6370726	603
FAM220A_m6370732	422
FAM220A_p6370615	320
FAM220A_p6370660	343
FAM220A_p6370734	670
