gRNA	HL60.initial
ACRC_p70800708	1630
ACRC_p70811990	337
ACRC_p70814182	464
ACRC_p70814187	654
ACRC_p70814200	1320
ACSL6_m131326625	436
ACSL6_m131326630	702
ACSL6_m131326651	429
ACSL6_m131329874	541
ACSL6_m131329908	688
ACSL6_p131329816	1223
ACSL6_p131329824	699
ACSL6_p131329830	524
ACSL6_p131329859	165
ACSL6_p131329878	618
ACSS2_m33470722	500
ACSS2_m33500924	405
ACSS2_m33500940	1126
ACSS2_m33500955	426
ACSS2_m33501214	463
ACSS2_m33501222	451
ACSS2_p33470688	599
ACSS2_p33500893	64
ACSS2_p33500928	272
ACSS2_p33501184	475
ACTL6A_m179287950	259
ACTL6A_m179287986	450
ACTL6A_p179287878	353
ACTL6A_p179287892	283
ACTL6A_p179287902	513
ACTL6A_p179287911	872
ACTL6A_p179287920	818
ACTL6A_p179287966	1006
ACTL6A_p179287976	216
ACTL6A_p179291144	126
ACTL6B_m100253076	629
ACTL6B_m100253081	396
ACTL6B_m100253086	434
ACTL6B_m100253168	511
ACTL6B_m100253443	758
ACTL6B_m100253971	329
ACTL6B_p100253037	949
ACTL6B_p100253066	669
ACTL6B_p100253094	643
ACTL6B_p100253446	823
ACTL7A_m111624641	1314
ACTL7A_m111624669	377
ACTL7A_m111624684	363
ACTL7A_m111624726	276
ACTL7A_m111624736	594
ACTL7A_p111624607	236
ACTL7A_p111624631	449
ACTL7A_p111624686	232
ACTL7A_p111624691	228
ACTL7A_p111624699	826
ACTN1_m69392359	371
ACTN1_m69392382	466
ACTN1_m69445694	212
ACTN1_m69445700	476
ACTN1_m69445718	739
ACTN1_m69445724	1001
ACTN1_p69392370	1446
ACTN1_p69445679	175
ACTN1_p69445708	122
ACTN1_p69445745	591
ACTN4_m39138399	540
ACTN4_m39138430	111
ACTN4_m39138527	146
ACTN4_p39138381	447
ACTN4_p39138403	570
ACTN4_p39138433	590
ACTN4_p39138459	1072
ACTN4_p39138465	1160
ACTN4_p39138476	306
ACTN4_p39138482	927
ACTR1A_m104248862	719
ACTR1A_m104250350	284
ACTR1A_m104250365	274
ACTR1A_p104248833	547
ACTR1A_p104248866	664
ACTR1A_p104250290	412
ACTR1A_p104250304	445
ACTR1A_p104262351	662
ACTR1A_p104262374	910
ACTR1A_p104262383	844
ACTR3_m114684932	697
ACTR3_m114688941	781
ACTR3_p114674498	896
ACTR3_p114684915	609
ACTR3_p114684941	648
ACTR3_p114684946	524
ACTR3_p114684953	58
ACTR3_p114688931	491
ACTR3_p114691883	369
ACTR3_p114691894	1477
ACTR5_m37377141	589
ACTR5_m37377155	65
ACTR5_m37377161	233
ACTR5_m37377171	298
ACTR5_m37377189	462
ACTR5_p37377163	362
ACTR5_p37377178	258
ACTR5_p37377198	254
ACTR5_p37377204	198
ACTR5_p37377211	695
ACTR8_m53916047	1690
ACTR8_m53916057	675
ACTR8_m53916067	862
ACTR8_m53916073	1021
ACTR8_m53916081	1310
ACTR8_m53916091	239
ACTR8_m53916096	1170
ACTR8_m53916103	615
ACTR8_m53916111	443
ACTR8_m53916121	194
ACTRT3_m169487192	347
ACTRT3_m169487204	257
ACTRT3_m169487242	1477
ACTRT3_m169487247	294
ACTRT3_m169487252	193
ACTRT3_m169487267	432
ACTRT3_m169487273	549
ACTRT3_m169487289	760
ACTRT3_p169487206	24
ACTRT3_p169487280	1000
ACVR1B_m52369170	280
ACVR1B_m52369187	707
ACVR1B_m52369192	430
ACVR1B_m52369211	1029
ACVR1B_m52369226	35
ACVR1B_m52369237	1002
ACVR1B_p52369196	276
ACVR1B_p52369243	471
ACVR1B_p52369255	114
ACVR1B_p52369266	796
ACVR1C_m158401016	305
ACVR1C_m158401030	748
ACVR1C_m158401075	193
ACVR1C_m158401097	654
ACVR1C_m158401113	224
ACVR1C_m158443700	675
ACVR1C_m158443841	323
ACVR1C_p158443781	335
ACVR1C_p158443786	959
ACVR1C_p158443795	1008
ACVR1_m158637033	652
ACVR1_m158637046	485
ACVR1_m158637054	198
ACVR1_m158637066	483
ACVR1_m158655997	918
ACVR1_p158637019	455
ACVR1_p158637035	1370
ACVR1_p158637068	469
ACVR1_p158655928	196
ACVR1_p158655958	279
ACVR2A_m148602752	955
ACVR2A_m148602767	1084
ACVR2A_m148653941	396
ACVR2A_m148653961	587
ACVR2A_p148602720	961
ACVR2A_p148602754	350
ACVR2A_p148653859	169
ACVR2A_p148653946	648
ACVR2A_p148653965	390
ACVR2A_p148653997	1091
ACVR2B_m38495825	1404
ACVR2B_m38518828	275
ACVR2B_m38518849	440
ACVR2B_p38495805	547
ACVR2B_p38495827	789
ACVR2B_p38518810	780
ACVR2B_p38518817	861
ACVR2B_p38518836	997
ACVR2B_p38518841	400
ACVR2B_p38518854	1460
ACVRL1_m52306276	627
ACVRL1_m52306307	557
ACVRL1_m52306881	1133
ACVRL1_m52306910	868
ACVRL1_m52306921	504
ACVRL1_p52306245	569
ACVRL1_p52306281	813
ACVRL1_p52306287	1148
ACVRL1_p52306296	906
ACVRL1_p52306883	1056
ADAD1_m123301295	405
ADAD1_m123301308	531
ADAD1_m123301332	711
ADAD1_m123301345	350
ADAD1_m123301366	358
ADAD1_p123301314	991
ADAD1_p123301335	538
ADAD1_p123301349	651
ADAD1_p123301358	1190
ADAD1_p123301373	628
ADAM10_m58974490	417
ADAM10_m59009777	367
ADAM10_m59009866	415
ADAM10_m59009883	815
ADAM10_m59041689	61
ADAM10_m59041696	340
ADAM10_p58974401	659
ADAM10_p58974481	911
ADAM10_p59009761	246
ADAM10_p59009767	603
ADAM12_m128018982	438
ADAM12_m128019019	753
ADAM12_m128019025	381
ADAM12_m128076635	242
ADAM12_m128076658	523
ADAM12_p128018991	35
ADAM12_p128019039	1241
ADAM12_p128076618	82
ADAM12_p128076641	768
ADAM12_p128076650	530
ADAMTS5_m28338537	668
ADAMTS5_m28338697	727
ADAMTS5_m28338702	410
ADAMTS5_p28338524	614
ADAMTS5_p28338585	662
ADAMTS5_p28338596	572
ADAMTS5_p28338607	758
ADAMTS5_p28338612	78
ADAMTS5_p28338620	272
ADAMTS5_p28338667	759
ADAP1_m975089	321
ADAP1_m975116	399
ADAP1_m975132	651
ADAP1_m994042	199
ADAP1_m994066	114
ADAP1_m994071	781
ADAP1_m994091	598
ADAP1_m994101	781
ADAP1_m994106	300
ADAP1_p975103	619
ADARB1_m46591572	140
ADARB1_m46595675	387
ADARB1_m46595697	485
ADARB1_m46595715	510
ADARB1_m46595721	156
ADARB1_m46595779	453
ADARB1_p46595645	738
ADARB1_p46595700	503
ADARB1_p46595705	1352
ADARB1_p46595724	234
ADARB2_m1779246	1268
ADARB2_m1779251	505
ADARB2_m1779266	1067
ADARB2_m1779272	693
ADARB2_m1779308	776
ADARB2_m1779330	92
ADARB2_m1779337	453
ADARB2_p1421307	285
ADARB2_p1421336	382
ADARB2_p1779233	301
ADAR_m154574098	1070
ADAR_m154574103	90
ADAR_m154574108	1085
ADAR_m154574165	458
ADAR_m154574219	432
ADAR_p154574043	521
ADAR_p154574114	68
ADAR_p154574121	0
ADAR_p154574126	233
ADAR_p154574157	701
ADCK1_m78285328	451
ADCK1_m78285358	1053
ADCK1_m78285376	993
ADCK1_m78285413	812
