gRNA	HL60.final
DQX1_p74752697	1621
DQX1_p74752703	657
DQX1_p74752708	742
DQX1_p74752735	1960
DQX1_p74752745	1695
DQX1_p74752760	2319
DQX1_p74752829	1535
DR1_m93812212	4278
DR1_m93812283	885
DR1_m93812291	1813
DR1_m93812348	767
DR1_m93812365	378
DR1_m93812398	1138
DR1_m93812406	1073
DR1_p93812196	981
DR1_p93812269	1900
DR1_p93812294	1876
DRAP1_m65686978	407
DRAP1_m65687313	1610
DRAP1_m65687421	522
DRAP1_p65686982	2485
DRAP1_p65686992	2218
DRAP1_p65687255	3053
DRAP1_p65687268	1409
DRAP1_p65687273	1812
DRAP1_p65687279	1025
DRAP1_p65687285	1260
DRD1_m174869986	632
DRD1_m174870050	1049
DRD1_m174870056	839
DRD1_m174870062	1830
DRD1_m174870067	792
DRD1_m174870072	1837
DRD1_m174870077	1003
DRD1_p174869993	1725
DRD1_p174870000	2238
DRD1_p174870008	2661
DRG1_m31799149	1508
DRG1_m31799182	1320
DRG1_p31795689	1173
DRG1_p31796626	1489
DRG1_p31796637	1679
DRG1_p31796701	250
DRG1_p31796707	199
DRG1_p31799028	1845
DRG1_p31799168	1316
DRG1_p31806991	1020
DRGX_m50599211	392
DRGX_m50599279	1022
DRGX_m50599294	2116
DRGX_m50603454	966
DRGX_p50598205	442
DRGX_p50598218	1107
DRGX_p50598231	1113
DRGX_p50598261	1110
DRGX_p50599217	1497
DRGX_p50603442	635
DROSHA_m31526991	1205
DROSHA_m31526998	820
DROSHA_m31529148	3018
DROSHA_m31529158	3670
DROSHA_p31526842	1061
DROSHA_p31526875	703
DROSHA_p31526887	1268
DROSHA_p31526931	1682
DROSHA_p31526937	2377
DROSHA_p31526960	1309
DSCC1_m120867936	989
DSCC1_m120867943	777
DSCC1_m120867949	558
DSCC1_m120867962	499
DSCC1_m120867980	883
DSCC1_m120868013	1295
DSCC1_m120868029	2010
DSCC1_p120867954	919
DSCC1_p120867969	406
DSCC1_p120868001	2046
DSCR3_m38612866	666
DSCR3_m38612887	1923
DSCR3_m38612906	1376
DSCR3_m38612921	1179
DSCR3_m38612929	606
DSCR3_m38639541	1262
DSCR3_p38610887	462
DSCR3_p38612850	395
DSCR3_p38612873	823
DSCR3_p38639565	197
DSCR6_m38379073	451
DSCR6_m38379144	616
DSCR6_m38379162	543
DSCR6_m38380460	1596
DSCR6_m38380466	1174
DSCR6_m38380490	1158
DSCR6_m38380509	221
DSCR6_p38379065	669
DSCR6_p38380469	1503
DSCR6_p38380497	822
DSN1_m35386541	510
DSN1_m35390899	986
DSN1_m35395213	421
DSN1_m35396399	140
DSN1_m35396404	867
DSN1_p35395195	1265
DSN1_p35395200	770
DSN1_p35396359	723
DSN1_p35396367	545
DSN1_p35396415	487
DSTYK_m205180546	573
DSTYK_m205180551	512
DSTYK_m205180578	1375
DSTYK_m205180616	780
DSTYK_m205180651	2283
DSTYK_m205180658	1701
DSTYK_p205180509	612
DSTYK_p205180530	1457
DSTYK_p205180536	949
DSTYK_p205180588	1576
DST_m56505369	1259
DST_m56506746	784
DST_m56506754	1447
DST_m56506780	689
DST_m56506845	813
DST_m56507226	1899
DST_m56507263	505
DST_p56505351	2320
DST_p56506790	524
DST_p56507255	1790
DTD1_m18568717	616
DTD1_m18568745	909
DTD1_m18568750	893
DTD1_p18568706	795
DTD1_p18568723	1551
DTD1_p18568737	4852
DTD1_p18574379	503
DTD1_p18574384	971
DTD1_p18574414	373
DTD1_p18574429	2052
DTL_m212209263	569
DTL_m212209276	825
DTL_m212216353	228
DTL_m212216364	582
DTL_m212216451	42
DTL_p212209225	926
DTL_p212216366	366
DTL_p212216390	908
DTL_p212216399	1436
DTL_p212216438	642
DTNBP1_m15615568	447
DTNBP1_m15615582	1885
DTNBP1_m15615621	253
DTNBP1_m15627669	1282
DTNBP1_p15615507	88
DTNBP1_p15615570	329
DTNBP1_p15627568	569
DTNBP1_p15627593	1063
DTNBP1_p15627603	630
DTNBP1_p15627627	137
DTX1_m113496009	1949
DTX1_m113496014	280
DTX1_m113496030	1296
DTX1_m113496054	77
DTX1_p113495983	2932
DTX1_p113495988	1411
DTX1_p113495994	2895
DTX1_p113496020	589
DTX1_p113496041	258
DTX1_p113496046	2779
DTX2_m76109874	1551
DTX2_m76109935	1166
DTX2_m76111830	1816
DTX2_m76111917	724
DTX2_m76112065	1999
DTX2_p76109879	3352
DTX2_p76109884	1343
DTX2_p76109889	2836
DTX2_p76111821	1214
DTX2_p76111930	1545
DTX3L_m122283302	272
DTX3L_m122283308	775
DTX3L_m122283334	529
DTX3L_m122283425	401
DTX3L_m122283433	198
DTX3L_m122284815	797
DTX3L_p122283359	325
DTX3L_p122283366	534
DTX3L_p122283389	1645
DTX3L_p122283438	923
DUSP10_m221875972	2146
DUSP10_m221875997	171
DUSP10_m221876002	1708
DUSP10_m221879470	3951
DUSP10_p221879451	629
DUSP10_p221879473	1948
DUSP10_p221879499	494
DUSP10_p221879514	443
DUSP10_p221879520	496
DUSP10_p221879572	571
DUSP11_m74007092	385
DUSP11_m74007110	321
DUSP11_m74007119	2404
DUSP11_m74007151	1055
DUSP11_m74007156	2405
DUSP11_m74007162	409
DUSP11_m74007207	756
DUSP11_m74007216	1524
DUSP11_m74007223	1615
DUSP11_p74007167	726
DUSP12_m161719592	854
DUSP12_m161719606	295
DUSP12_m161719611	1162
DUSP12_m161719639	614
DUSP12_m161719664	666
DUSP12_p161719578	1532
DUSP12_p161719584	864
DUSP12_p161719597	568
DUSP12_p161719642	1381
DUSP12_p161719653	387
DUSP13_m76857527	1282
DUSP13_m76857536	1411
DUSP13_m76857597	2335
DUSP13_m76857612	619
DUSP13_m76857623	2490
DUSP13_p76857509	995
DUSP13_p76857543	879
DUSP13_p76857551	3292
DUSP13_p76857556	1383
DUSP13_p76857566	3525
DUSP16_m12673929	214
DUSP16_m12673939	1005
DUSP16_m12673965	1085
DUSP16_m12673970	521
DUSP16_m12673977	2028
DUSP16_m12673986	751
DUSP16_m12673993	892
DUSP16_m12674015	1616
DUSP16_p12673913	645
DUSP16_p12674004	645
DUSP18_m31059827	1819
DUSP18_m31059848	2207
DUSP18_m31059893	1185
DUSP18_p31059836	1037
DUSP18_p31059864	835
DUSP18_p31059924	544
DUSP18_p31059932	1180
DUSP18_p31059943	932
DUSP18_p31059948	557
DUSP18_p31059957	2888
DUSP21_m44703422	1611
DUSP21_m44703429	3644
DUSP21_m44703448	761
DUSP21_m44703457	982
DUSP21_m44703487	1639
DUSP21_m44703503	965
DUSP21_m44703511	673
DUSP21_m44703529	1494
DUSP21_p44703461	496
DUSP21_p44703521	416
DUSP22_m304636	1403
DUSP22_m304641	1653
DUSP22_m311885	683
DUSP22_m311937	1196
DUSP22_p304615	653
DUSP22_p304627	1486
DUSP22_p311871	1146
DUSP22_p311892	856
DUSP22_p311927	1580
DUSP22_p311940	1089
DUSP23_m159750908	2284
DUSP23_m159750934	845
DUSP23_m159750965	846
DUSP23_m159750970	418
DUSP23_p159750912	38
DUSP23_p159750919	540
DUSP23_p159750936	1566
DUSP23_p159750978	1045
DUSP23_p159750985	1319
DUSP23_p159750997	1348
DUSP26_m33454936	405
DUSP26_m33454946	1267
DUSP26_m33454967	1003
DUSP26_m33455012	1104
DUSP26_m33455018	3157
DUSP26_m33455025	1521
DUSP26_p33454918	2990
DUSP26_p33454938	368
DUSP26_p33454957	1691
DUSP26_p33455004	2494
DUSP2_m96811005	984
DUSP2_m96811023	994
DUSP2_m96811029	962
DUSP2_m96811038	2175
DUSP2_m96811052	935
DUSP2_m96811059	2403
DUSP2_p96810961	336
DUSP2_p96810966	1517
DUSP2_p96810971	2053
DUSP2_p96811010	863
DUSP3_m41852295	966
DUSP3_m41852301	1368
DUSP3_m41856198	1447
DUSP3_m41856239	1284
DUSP3_m41856264	671
DUSP3_m41856270	946
DUSP3_p41852263	1245
DUSP3_p41852287	2061
DUSP3_p41856167	2485
DUSP3_p41856228	2202
DUSP4_m29197749	407
DUSP4_p29195974	1013
DUSP4_p29195989	66
DUSP4_p29197606	89
DUSP4_p29197631	1230
DUSP4_p29197638	19
DUSP4_p29197647	1060
DUSP4_p29197653	981
DUSP4_p29197689	1328
DUSP4_p29197716	373
DUSP5_m112257908	1332
DUSP5_m112257926	2215
DUSP5_m112257965	1909
DUSP5_m112257970	2417
DUSP5_m112257979	2149
DUSP5_m112257988	1262
DUSP5_p112257879	2652
DUSP5_p112257914	868
DUSP5_p112257943	1874
DUSP5_p112257953	258
DUSP6_m89745707	1077
DUSP6_m89745720	4325
DUSP6_m89745730	1738
DUSP6_m89745737	3966
DUSP6_m89745753	2196
DUSP6_m89745758	2238
DUSP6_m89745776	1283
DUSP6_m89745782	1703
DUSP6_p89745768	1378
DUSP6_p89745795	450
DUSP7_m52090102	1852
DUSP7_m52090114	966
DUSP7_m52090192	1264
DUSP7_m52090198	2132
DUSP7_m52090332	1087
DUSP7_p52090125	1038
DUSP7_p52090148	1340
DUSP7_p52090202	388
DUSP7_p52090208	1518
DUSP7_p52090335	1763
DUSP8_m1586842	1559
DUSP8_m1586869	1445
DUSP8_m1586874	2020
DUSP8_m1586950	886
DUSP8_p1586820	1974
DUSP8_p1586879	1284
DUSP8_p1586933	1207
DUSP8_p1586938	369
DUSP8_p1586955	1894
DUSP8_p1587016	1293
DUT_m48624528	577
DUT_m48624536	588
DUT_m48626618	338
DUT_m48626682	226
DUT_m48628247	464
DUT_p48624515	552
DUT_p48624581	132
DUT_p48626665	1439
DUT_p48626674	1242
DUT_p48628237	1557
DUXA_m57669827	191
DUXA_m57670567	1618
DUXA_m57672012	1839
DUXA_p57669741	1296
DUXA_p57669782	1221
DUXA_p57670530	137
DUXA_p57670578	1737
DUXA_p57671998	741
DUXA_p57678775	2154
DUXA_p57678784	702
DVL2_m7137437	1169
DVL2_m7137499	1140
DVL2_m7137517	1030
DVL2_m7137523	476
DVL2_m7137563	1385
DVL2_m7137576	3101
DVL2_p7137442	1059
DVL2_p7137455	1738
DVL2_p7137482	1540
DVL2_p7137502	827
DYM_m46917964	1670
DYM_m46917972	423
DYM_m46917995	1583
DYM_m46956626	1465
DYM_m46956668	142
DYM_m46956741	989
DYM_p46906094	1767
DYM_p46956612	72
DYM_p46956618	647
DYM_p46956652	1186
DYNC1H1_m102431071	2027
DYNC1H1_m102431089	868
DYNC1H1_m102431129	250
DYNC1H1_p102431019	2271
DYNC1H1_p102431054	960
DYNC1H1_p102431063	394
DYNC1H1_p102431078	790
DYNC1H1_p102431117	487
DYNC1H1_p102431132	248
DYNC1H1_p102431139	0
DYNC1I2_m172549294	2584
DYNC1I2_m172563877	396
DYNC1I2_m172571946	653
DYNC1I2_m172582159	1048
DYNC1I2_m172582165	348
DYNC1I2_m172582435	611
DYNC1I2_p172546697	1644
DYNC1I2_p172549357	1018
DYNC1I2_p172563865	1260
DYNC1I2_p172571931	401
DYNC1LI1_m32611860	598
DYNC1LI1_m32612118	1778
DYNC1LI1_m32612130	1976
DYNC1LI1_m32612158	467
DYNC1LI1_m32612167	3311
DYNC1LI1_m32612194	814
DYNC1LI1_m32612251	859
DYNC1LI1_p32611862	569
DYNC1LI1_p32612197	385
DYNC1LI1_p32612214	1191
DYNLT1_m159057911	1328
DYNLT1_m159058177	1217
DYNLT1_m159058212	851
DYNLT1_m159058906	962
DYNLT1_m159065715	1011
DYNLT1_m159065727	989
DYNLT1_p159058795	434
DYNLT1_p159058845	2572
DYNLT1_p159058853	1092
DYNLT1_p159065706	776
DYNLT3_m37699887	826
DYNLT3_m37700346	723
DYNLT3_m37701067	2291
DYNLT3_m37705595	1388
DYNLT3_p37699856	1439
DYNLT3_p37700269	851
DYNLT3_p37701056	770
DYNLT3_p37701085	2397
DYNLT3_p37705565	780
DYNLT3_p37706729	1525
DYRK1A_m38845011	2391
DYRK1A_m38845058	1118
DYRK1A_m38845081	1611
DYRK1A_m38845103	3150
DYRK1A_m38845109	922
DYRK1A_m38845127	2727
DYRK1A_m38845141	1420
DYRK1A_p38792664	369
DYRK1A_p38845000	524
DYRK1A_p38845043	1370
DYRK1B_m40321393	1703
DYRK1B_m40321408	557
DYRK1B_m40322475	615
DYRK1B_m40322494	536
DYRK1B_p40321362	1679
DYRK1B_p40322437	705
DYRK1B_p40322459	1298
DYRK1B_p40322467	1536
DYRK1B_p40322480	65
DYRK1B_p40322486	2976
DYRK2_m68050920	2436
DYRK2_m68050935	960
DYRK2_m68051047	843
DYRK2_m68051056	907
DYRK2_p68050906	2133
DYRK2_p68050950	2346
DYRK2_p68050967	1167
DYRK2_p68050993	2324
DYRK2_p68051007	4852
DYRK2_p68051039	2192
DYRK3_m206811020	1336
DYRK3_m206811052	3270
DYRK3_m206811076	1897
DYRK3_m206811085	1282
DYRK3_m206811091	971
DYRK3_p206820732	1175
DYRK3_p206820773	4841
DYRK3_p206820798	1180
DYRK3_p206820831	634
DYRK3_p206820873	1796
DYRK4_m4700356	1682
DYRK4_m4700412	2415
DYRK4_m4702202	1086
DYRK4_m4702246	553
DYRK4_p4700345	1626
DYRK4_p4700399	2276
DYRK4_p4700442	779
DYRK4_p4702210	2516
DYRK4_p4702218	651
DYRK4_p4702225	1149
DYX1C1_m55789911	769
DYX1C1_m55789982	2466
DYX1C1_m55790421	3009
DYX1C1_m55790436	2738
DYX1C1_m55790481	2479
DYX1C1_m55790500	1892
DYX1C1_m55790517	1205
DYX1C1_p55789949	2863
DYX1C1_p55789991	1820
DYX1C1_p55790439	1541
DZIP1_m96294065	495
DZIP1_m96294074	1303
DZIP1_m96294262	2583
DZIP1_m96294273	432
DZIP1_p96293956	1561
DZIP1_p96293961	1154
DZIP1_p96294013	536
DZIP1_p96294037	982
DZIP1_p96294081	716
DZIP1_p96294086	1067
E2F2_m23857116	340
E2F2_m23857276	2083
E2F2_p23857124	773
E2F2_p23857135	160
E2F2_p23857148	1728
E2F2_p23857158	1350
E2F2_p23857192	3080
E2F2_p23857217	1932
E2F2_p23857243	2840
E2F2_p23857248	1988
E2F3_m20481598	1795
E2F3_m20481617	692
E2F3_m20481650	1048
E2F3_p20480065	1370
E2F3_p20480076	2625
E2F3_p20480106	787
E2F3_p20481459	1412
E2F3_p20481584	1287
E2F3_p20482993	374
E2F3_p20483049	959
E2F4_m67226165	984
E2F4_m67226195	1102
E2F4_m67226209	1037
E2F4_m67226239	2585
E2F4_m67226258	1249
E2F4_m67226662	1966
E2F4_p67226129	1490
E2F4_p67226213	999
E2F4_p67226219	866
E2F4_p67226673	1237
E2F5_m86118419	2465
E2F5_m86119712	211
E2F5_m86119718	1165
E2F5_m86121402	429
E2F5_m86121430	1968
E2F5_p86118433	854
E2F5_p86119670	2130
E2F5_p86119681	699
E2F5_p86119702	997
E2F5_p86121364	1121
E2F6_m11593838	487
E2F6_m11605899	1964
E2F6_m11605933	2343
E2F6_m11605944	691
E2F6_m11605953	1504
E2F6_m11605962	1307
E2F6_p11593699	1758
E2F6_p11597290	598
E2F6_p11605935	346
E2F6_p11605967	1204
E2F7_m77449763	3337
E2F7_m77449771	2109
E2F7_m77449882	1162
E2F7_p77449723	1120
E2F7_p77449733	644
E2F7_p77449743	1187
E2F7_p77449776	2012
E2F7_p77449784	1911
E2F7_p77449797	329
E2F7_p77458353	1939
E2F8_m19259526	202
E2F8_m19259537	1193
E2F8_m19259578	1615
E2F8_p19259529	383
E2F8_p19259539	785
E2F8_p19259544	2562
E2F8_p19259551	1942
E2F8_p19259563	1002
E2F8_p19259595	732
E2F8_p19259611	229
E4F1_m2273648	707
E4F1_p2273599	1329
E4F1_p2273607	1307
E4F1_p2273615	809
E4F1_p2273622	641
E4F1_p2273634	478
E4F1_p2273656	499
E4F1_p2273661	201
E4F1_p2273667	266
E4F1_p2273685	999
EAF1_m15469287	682
EAF1_m15469299	1873
EAF1_m15469306	1515
EAF1_m15469364	114
EAF1_m15469371	98
EAF1_m15469378	1037
EAF1_p15469291	2917
EAF1_p15469314	699
EAF1_p15469319	1714
EAF1_p15469344	572
EAF2_m121554167	1292
EAF2_m121554213	2169
EAF2_m121554223	892
EAF2_m121563313	595
EAF2_p121554125	605
EAF2_p121554154	628
EAF2_p121554169	441
EAF2_p121563316	456
EAF2_p121563327	1363
EAF2_p121563337	605
EAPP_m35005476	873
EAPP_m35008759	1407
EAPP_m35008779	580
EAPP_m35008821	1138
EAPP_m35008828	866
EAPP_p35008751	256
EAPP_p35008766	527
EAPP_p35008783	563
EAPP_p35008806	514
EAPP_p35008813	196
EBF1_m158526362	1938
EBF1_m158526384	2128
EBF1_m158526391	1577
EBF1_m158526399	1281
EBF1_m158526405	1547
EBF1_m158526410	2128
EBF1_m158526427	915
EBF1_m158526440	2224
EBF1_m158526454	1313
EBF1_m158526459	1068
EBF3_m131761911	1244
EBF3_m131761923	4174
EBF3_m131761931	1099
EBF3_m131761945	961
EBF3_m131761956	821
EBF3_m131762002	364
EBF3_p131761885	1062
EBF3_p131761894	2153
EBF3_p131761934	1642
EBF3_p131761969	388
EBF4_m2674320	1046
EBF4_m2674335	162
EBF4_m2674357	971
EBF4_m2674382	2969
EBF4_p2674339	805
EBF4_p2674361	2181
EBF4_p2674368	2102
EBF4_p2674374	368
EBF4_p2674398	1326
EBF4_p2674406	1263
EBNA1BP2_m43637288	592
EBNA1BP2_m43637303	1011
EBNA1BP2_m43637558	1371
EBNA1BP2_m43637584	744
EBNA1BP2_p43637294	1659
EBNA1BP2_p43637547	1492
EBNA1BP2_p43637600	1599
EBNA1BP2_p43637719	354
EBNA1BP2_p43637729	594
EBNA1BP2_p43637754	231
ECD_m74923492	36
ECD_m74923497	167
ECD_m74923547	1021
ECD_m74923563	270
ECD_m74923655	1133
ECD_p74923518	1370
ECD_p74923609	655
ECD_p74923616	2114
ECD_p74923622	169
ECD_p74923662	1080
ECSIT_m11618840	337
ECSIT_m11629942	254
ECSIT_m11629960	791
ECSIT_m11629972	918
ECSIT_m11629978	1906
ECSIT_p11629877	394
ECSIT_p11629891	352
ECSIT_p11629933	692
ECSIT_p11629946	263
ECSIT_p11629951	868
ECT2_m172472348	356
ECT2_m172473095	719
ECT2_p172472332	1585
ECT2_p172472391	990
ECT2_p172473097	1155
ECT2_p172473110	616
ECT2_p172474777	157
ECT2_p172474786	592
ECT2_p172474849	178
ECT2_p172474876	673
EDC4_m67907164	1236
EDC4_m67907171	881
EDC4_m67907201	1314
EDC4_m67907223	359
EDC4_m67909852	493
EDC4_m67909866	2137
EDC4_p67907192	2653
EDC4_p67907208	2285
EDC4_p67907213	1605
EDC4_p67909868	1266
EDF1_m139760649	771
EDF1_m139760658	1127
EDF1_m139760666	2566
EDF1_m139760682	1596
EDF1_m139760688	1118
EDF1_m139760694	2253
EDF1_p139760617	1161
EDF1_p139760623	2073
EDF1_p139760628	353
EDF1_p139760639	1840
EDNRA_m148457082	2445
EDNRA_m148457110	1536
EDNRA_m148457162	559
EDNRA_p148457024	812
EDNRA_p148457029	844
EDNRA_p148457040	1497
EDNRA_p148457063	678
EDNRA_p148457116	824
EDNRA_p148457121	2348
EDNRA_p148460958	1892
EDNRB_m78492605	1466
EDNRB_m78492635	2086
EDNRB_m78492642	562
EDNRB_m78492652	813
EDNRB_m78492665	1149
EDNRB_m78492674	1984
EDNRB_m78492685	988
EDNRB_p78492592	275
EDNRB_p78492654	1585
EDNRB_p78492676	2297
EED_m85956278	1091
EED_m85956301	220
EED_m85956319	7
EED_m85956364	849
EED_m85956369	628
EED_m85961381	3018
EED_m85961391	915
EED_p85956260	1249
EED_p85956282	1556
EED_p85961340	2209
EEF1A2_m62129024	494
EEF1A2_m62129063	2052
EEF1A2_m62129070	2122
EEF1A2_m62129078	2857
EEF1A2_m62129085	1275
EEF1A2_p62129016	813
EEF1A2_p62129026	2219
EEF1A2_p62129032	2695
EEF1A2_p62129041	414
EEF1A2_p62129052	92
EEF1D_m144662710	395
EEF1D_m144662731	536
EEF1D_m144663457	1575
EEF1D_m144663493	497
EEF1D_p144662671	1136
EEF1D_p144662697	766
EEF1D_p144663212	1353
EEF1D_p144663305	582
EEF1D_p144663447	324
EEF1D_p144668883	1919
EEF1E1_m8097501	1058
EEF1E1_m8097538	2687
EEF1E1_m8097555	2092
EEF1E1_m8097605	1071
EEF1E1_m8097677	601
EEF1E1_m8102669	2244
EEF1E1_m8102713	466
EEF1E1_m8102747	361
EEF1E1_p8097492	3277
EEF1E1_p8102721	769
EEF2K_m22237079	1822
EEF2K_m22237108	1586
EEF2K_m22237173	1499
EEF2K_m22237187	1518
EEF2K_m22237213	878
EEF2K_p22237058	587
EEF2K_p22237071	655
EEF2K_p22237113	342
EEF2K_p22237193	673
EEF2K_p22237245	1424
EEFSEC_m127872394	1096
EEFSEC_m127872438	970
EEFSEC_m127872444	227
EEFSEC_m127872450	321
EEFSEC_m127872456	42
EEFSEC_p127872358	1364
EEFSEC_p127872367	1877
EEFSEC_p127872383	236
EEFSEC_p127872397	29
EEFSEC_p127872402	2436
EFCAB13_m45421599	1351
EFCAB13_m45421632	2665
EFCAB13_p45405727	1450
EFCAB13_p45412570	703
EFCAB13_p45412603	1529
EFCAB13_p45412665	2859
EFCAB13_p45412673	291
EFCAB13_p45421541	1065
EFCAB13_p45421549	2194
EFCAB13_p45421636	1213
EFCAB4B_m3805939	1870
EFCAB4B_m3805948	1513
EFCAB4B_m3805971	299
EFCAB4B_m3805999	2756
EFCAB4B_m3806028	2692
EFCAB4B_m3806050	1187
EFCAB4B_p3805961	1158
EFCAB4B_p3806002	56
EFCAB4B_p3806038	698
EFCAB4B_p3806133	1319
EFCAB6_m44127665	2861
EFCAB6_m44131749	1380
EFCAB6_m44131779	1657
EFCAB6_m44131785	1084
EFCAB6_m44131797	1463
EFCAB6_m44131809	1839
EFCAB6_m44131814	747
EFCAB6_m44151655	427
EFCAB6_p44131819	1167
EFCAB6_p44151662	1059
EFNB1_m68049695	468
EFNB1_p68049610	1102
EFNB1_p68049620	2732
EFNB1_p68049625	2111
EFNB1_p68049632	2173
EFNB1_p68049639	2098
EFNB1_p68049645	1017
EFNB1_p68049653	1061
EFNB1_p68049665	3513
EFNB1_p68049681	2053
EFTUD2_m42963994	190
EFTUD2_m42964005	660
EFTUD2_m42964012	354
EFTUD2_m42964042	773
EFTUD2_m42964054	1544
EFTUD2_m42964060	1283
EFTUD2_m42964065	1722
EFTUD2_m42964089	1478
EFTUD2_p42963978	495
EFTUD2_p42964044	1136
EGFL6_m13587986	729
EGFL6_m13587992	1397
EGFL6_m13588000	1219
EGFL6_m13588010	1093
EGFL6_p13587972	2284
EGFL6_p13588002	603
EGFL6_p13588013	1377
EGFL6_p13588019	1909
EGFL6_p13588027	644
EGFL6_p13588032	1845
EGFR_m55087005	390
EGFR_m55209977	1590
EGFR_m55209985	1115
EGFR_p55086961	1039
EGFR_p55086966	2622
EGFR_p55086971	880
EGFR_p55086993	150
EGFR_p55087016	540
EGFR_p55087023	1851
EGFR_p55209991	2006
EGLN1_m231557484	853
EGLN1_m231557489	1354
EGLN1_m231557504	949
EGLN1_m231557607	855
EGLN1_m231557616	976
EGLN1_p231557496	1043
EGLN1_p231557510	2225
EGLN1_p231557525	1361
EGLN1_p231557575	1058
EGLN1_p231557581	1106
EGLN2_m41306478	1439
EGLN2_m41306505	668
EGLN2_m41306521	1300
EGLN2_m41306531	431
EGLN2_p41306510	872
EGLN2_p41306543	137
EGLN2_p41306548	1003
EGLN2_p41306553	1778
EGLN2_p41306558	1938
EGLN2_p41306563	857
EGLN3_m34419828	1720
EGLN3_m34419842	2599
EGLN3_m34419854	1717
EGLN3_m34419867	643
EGLN3_m34419882	490
EGLN3_m34419927	1240
EGLN3_p34419834	918
EGLN3_p34419846	135
EGLN3_p34419874	381
EGLN3_p34419891	2315
EGR1_m137801457	834
EGR1_m137801463	1206
EGR1_m137801488	2721
EGR1_m137801506	670
EGR1_m137801517	1755
EGR1_m137801522	775
EGR1_m137801531	587
EGR1_p137801437	2058
EGR1_p137801443	1320
EGR1_p137801533	98
EGR2_m64574186	2202
EGR2_m64574193	2130
EGR2_m64574203	1622
EGR2_m64575622	3364
EGR2_m64575629	1453
EGR2_p64574122	622
EGR2_p64574133	413
EGR2_p64574148	1571
EGR2_p64574155	1327
EGR2_p64574209	1732
EGR3_m22548892	1108
EGR3_m22548979	59
EGR3_p22548843	1453
EGR3_p22548848	725
EGR3_p22548876	1045
EGR3_p22548882	491
EGR3_p22548894	1419
EGR3_p22548931	776
EGR3_p22548936	363
EGR3_p22548948	0
EHD2_m48219870	859
EHD2_m48219907	1473
EHD2_m48219914	2033
EHD2_m48219925	2568
EHD2_m48219936	561
EHD2_m48219942	1490
EHD2_m48219958	2209
EHD2_p48219858	423
EHD2_p48219916	613
EHD2_p48219974	885
EHD3_m31457592	720
EHD3_m31457624	2989
EHD3_m31457631	884
EHD3_p31457476	680
EHD3_p31457481	1941
EHD3_p31457486	832
EHD3_p31457497	1879
EHD3_p31457504	2110
EHD3_p31457573	2754
EHD3_p31457615	1713
EHF_m34664216	2086
EHF_m34664227	2230
EHF_m34664236	369
EHF_m34664243	1285
EHF_m34664265	531
EHF_m34668010	1069
EHF_p34664168	3483
EHF_p34664174	720
EHF_p34664252	631
EHF_p34668015	1552
EHHADH_m184947281	1021
EHHADH_m184947290	688
EHHADH_m184947302	295
EHHADH_m184947323	256
EHHADH_m184953079	623
EHHADH_m184953128	3156
EHHADH_p184947269	208
EHHADH_p184947293	491
EHHADH_p184953064	849
EHHADH_p184953088	815
EHMT1_m140513481	1024
EHMT1_m140513487	671
EHMT1_m140513493	845
EHMT1_m140605442	1813
EHMT1_m140605467	1173
EHMT1_m140611095	31
EHMT1_p140605405	1783
EHMT1_p140605410	2005
EHMT1_p140611066	1523
EHMT1_p140611079	529
EHMT2_m31864553	895
EHMT2_m31864588	1288
EHMT2_m31864716	1169
EHMT2_m31865444	255
EHMT2_p31864485	1755
EHMT2_p31864497	449
EHMT2_p31864521	461
EHMT2_p31864555	655
EHMT2_p31864685	1594
EHMT2_p31864697	710
EI24_m125442445	870
EI24_m125442452	1481
EI24_m125442458	944
EI24_m125446149	1237
EI24_m125446180	1667
EI24_p125445156	800
EI24_p125445225	1054
EI24_p125445270	192
EI24_p125445282	684
EI24_p125446189	2879
EID1_m49170398	831
EID1_m49170423	1150
EID1_m49170442	1596
EID1_p49170363	2262
EID1_p49170408	148
EID1_p49170426	1105
EID1_p49170444	1433
EID1_p49170451	1661
EID1_p49170457	2908
EID1_p49170464	929
EID2B_m40023302	924
EID2B_m40023307	218
EID2B_m40023345	871
EID2B_m40023377	1211
EID2B_m40023420	942
EID2B_m40023427	513
EID2B_p40023349	2133
EID2B_p40023362	331
EID2B_p40023379	1062
EID2B_p40023410	971
EID2_m40030593	1477
EID2_m40030625	1907
EID2_m40030632	1852
EID2_m40030639	348
EID2_m40030646	674
EID2_m40030669	1038
EID2_m40030676	906
EID2_m40030681	1989
EID2_p40030683	747
EID2_p40030692	557
EID3_m104697740	695
EID3_m104697776	1531
EID3_m104697786	730
EID3_m104697806	414
EID3_p104697699	1414
EID3_p104697713	3150
EID3_p104697720	2679
EID3_p104697745	1347
EID3_p104697792	838
EID3_p104697815	1932
EIF1AD_m65767584	140
EIF1AD_m65767598	934
EIF1AD_m65767626	1031
EIF1AD_m65767815	1069
EIF1AD_m65767823	910
EIF1AD_m65767842	667
EIF1AD_m65767853	703
EIF1AD_p65767769	553
EIF1AD_p65767776	117
EIF1AD_p65767827	51
EIF2AK1_m6094236	990
EIF2AK1_m6094248	2384
EIF2AK1_m6094311	1412
EIF2AK1_m6098614	819
EIF2AK1_m6098619	1144
EIF2AK1_m6098666	1002
EIF2AK1_p6094301	1671
EIF2AK1_p6098585	2109
EIF2AK1_p6098622	1222
EIF2AK1_p6098668	776
