gRNA	HL60.final
ACP1_p272042	1412
ACP1_p272054	245
ACP1_p272099	548
ACP1_p272185	1508
ACRC_m70811980	706
ACRC_m70814198	709
ACRC_p70800656	846
ACRC_p70800697	437
ACRC_p70800703	1648
ACRC_p70800708	3904
ACRC_p70811990	1838
ACRC_p70814182	2492
ACRC_p70814187	1521
ACRC_p70814200	1494
ACSL6_m131326625	1422
ACSL6_m131326630	1272
ACSL6_m131326651	1691
ACSL6_m131329874	2163
ACSL6_m131329908	884
ACSL6_p131329816	1955
ACSL6_p131329824	2121
ACSL6_p131329830	824
ACSL6_p131329859	515
ACSL6_p131329878	1583
ACSS2_m33470722	859
ACSS2_m33500924	1683
ACSS2_m33500940	1695
ACSS2_m33500955	820
ACSS2_m33501214	845
ACSS2_m33501222	1371
ACSS2_p33470688	1065
ACSS2_p33500893	1128
ACSS2_p33500928	1819
ACSS2_p33501184	799
ACTL6A_m179287950	304
ACTL6A_m179287986	470
ACTL6A_p179287878	157
ACTL6A_p179287892	1190
ACTL6A_p179287902	988
ACTL6A_p179287911	1947
ACTL6A_p179287920	1910
ACTL6A_p179287966	869
ACTL6A_p179287976	1954
ACTL6A_p179291144	232
ACTL6B_m100253076	2063
ACTL6B_m100253081	750
ACTL6B_m100253086	1882
ACTL6B_m100253168	748
ACTL6B_m100253443	2678
ACTL6B_m100253971	361
ACTL6B_p100253037	1018
ACTL6B_p100253066	889
ACTL6B_p100253094	2197
ACTL6B_p100253446	1720
ACTL7A_m111624641	2510
ACTL7A_m111624669	956
ACTL7A_m111624684	962
ACTL7A_m111624726	661
ACTL7A_m111624736	578
ACTL7A_p111624607	885
ACTL7A_p111624631	599
ACTL7A_p111624686	168
ACTL7A_p111624691	953
ACTL7A_p111624699	1417
ACTN1_m69392359	1423
ACTN1_m69392382	1342
ACTN1_m69445694	816
ACTN1_m69445700	1643
ACTN1_m69445718	1746
ACTN1_m69445724	2437
ACTN1_p69392370	3111
ACTN1_p69445679	381
ACTN1_p69445708	395
ACTN1_p69445745	1213
ACTN4_m39138399	1210
ACTN4_m39138430	596
ACTN4_m39138527	398
ACTN4_p39138381	1075
ACTN4_p39138403	1744
ACTN4_p39138433	1627
ACTN4_p39138459	1897
ACTN4_p39138465	1726
ACTN4_p39138476	1675
ACTN4_p39138482	2530
ACTR1A_m104248862	2213
ACTR1A_m104250350	189
ACTR1A_m104250365	1128
ACTR1A_p104248833	1032
ACTR1A_p104248866	741
ACTR1A_p104250290	3242
ACTR1A_p104250304	1731
ACTR1A_p104262351	1218
ACTR1A_p104262374	1189
ACTR1A_p104262383	342
ACTR3_m114684932	1401
ACTR3_m114688941	1286
ACTR3_p114674498	2125
ACTR3_p114684915	1110
ACTR3_p114684941	1964
ACTR3_p114684946	1193
ACTR3_p114684953	287
ACTR3_p114688931	927
ACTR3_p114691883	663
ACTR3_p114691894	2229
ACTR5_m37377141	2529
ACTR5_m37377155	659
ACTR5_m37377161	842
ACTR5_m37377171	764
ACTR5_m37377189	2502
ACTR5_p37377163	1571
ACTR5_p37377178	1370
ACTR5_p37377198	673
ACTR5_p37377204	570
ACTR5_p37377211	755
ACTR8_m53916047	3444
ACTR8_m53916057	1179
ACTR8_m53916067	398
ACTR8_m53916073	1269
ACTR8_m53916081	309
ACTR8_m53916091	361
ACTR8_m53916096	565
ACTR8_m53916103	2350
ACTR8_m53916111	913
ACTR8_m53916121	157
ACTRT3_m169487192	346
ACTRT3_m169487204	950
ACTRT3_m169487242	1672
ACTRT3_m169487247	457
ACTRT3_m169487252	553
ACTRT3_m169487267	1343
ACTRT3_m169487273	282
ACTRT3_m169487289	752
ACTRT3_p169487206	715
ACTRT3_p169487280	2005
ACVR1B_m52369170	1538
ACVR1B_m52369187	1605
ACVR1B_m52369192	2364
ACVR1B_m52369211	1684
ACVR1B_m52369226	515
ACVR1B_m52369237	1931
ACVR1B_p52369196	275
ACVR1B_p52369243	963
ACVR1B_p52369255	70
ACVR1B_p52369266	2414
ACVR1C_m158401016	723
ACVR1C_m158401030	2126
ACVR1C_m158401075	471
ACVR1C_m158401097	1557
ACVR1C_m158401113	486
ACVR1C_m158443700	1390
ACVR1C_m158443841	1419
ACVR1C_p158443781	1156
ACVR1C_p158443786	2009
ACVR1C_p158443795	2106
ACVR1_m158637033	2567
ACVR1_m158637046	2055
ACVR1_m158637054	904
ACVR1_m158637066	1070
ACVR1_m158655997	2692
ACVR1_p158637019	1145
ACVR1_p158637035	2676
ACVR1_p158637068	2288
ACVR1_p158655928	851
ACVR1_p158655958	1070
ACVR2A_m148602752	1182
ACVR2A_m148602767	1782
ACVR2A_m148653941	746
ACVR2A_m148653961	1032
ACVR2A_p148602720	2354
ACVR2A_p148602754	731
ACVR2A_p148653859	959
ACVR2A_p148653946	1457
ACVR2A_p148653965	190
ACVR2A_p148653997	2469
ACVR2B_m38495825	3150
ACVR2B_m38518828	2219
ACVR2B_m38518849	1134
ACVR2B_p38495805	872
ACVR2B_p38495827	1598
ACVR2B_p38518810	2390
ACVR2B_p38518817	2617
ACVR2B_p38518836	1180
ACVR2B_p38518841	1162
ACVR2B_p38518854	2715
ACVRL1_m52306276	2249
ACVRL1_m52306307	1651
