gRNA	KBM7.final
FAM181B_m82444724	962
FAM181B_m82444758	641
FAM181B_p82444560	2459
FAM181B_p82444613	1669
FAM181B_p82444666	705
FAM181B_p82444728	1389
FAM183A_m43613696	1124
FAM183A_m43613713	768
FAM183A_m43613746	1388
FAM183A_m43616484	1034
FAM183A_m43618497	281
FAM183A_p43613607	1038
FAM183A_p43613639	2814
FAM183A_p43613678	1618
FAM183A_p43616425	749
FAM183A_p43616469	888
FAM184A_m119345458	1722
FAM184A_m119345464	1423
FAM184A_m119345496	957
FAM184A_m119345521	3267
FAM184A_m119345551	2373
FAM184A_m119345651	1854
FAM184A_m119345728	3288
FAM184A_p119345486	1015
FAM184A_p119345671	2171
FAM184A_p119345680	1794
FAM184B_m17711230	2311
FAM184B_m17711236	2019
FAM184B_m17711242	952
FAM184B_m17782840	1720
FAM184B_m17782847	803
FAM184B_m17782857	1006
FAM184B_p17711221	1343
FAM184B_p17782829	642
FAM184B_p17782865	754
FAM184B_p17782870	430
FAM185A_m102389666	2292
FAM185A_m102389768	1431
FAM185A_m102401768	334
FAM185A_p102389719	421
FAM185A_p102389727	1574
FAM185A_p102389759	1516
FAM185A_p102389772	493
FAM185A_p102389777	3842
FAM185A_p102389810	1285
FAM185A_p102412859	1598
FAM186B_m49998260	1497
FAM186B_m49999166	1368
FAM186B_m49999175	1063
FAM186B_m49999200	713
FAM186B_p49998239	983
FAM186B_p49998245	875
FAM186B_p49999181	933
FAM186B_p49999188	1466
FAM186B_p49999203	984
FAM186B_p49999219	916
FAM188A_m15885222	1924
FAM188A_m15889864	1604
FAM188A_m15889893	1112
FAM188A_m15889920	1032
FAM188A_m15902261	1240
FAM188A_m15902267	1781
FAM188A_m15902273	730
FAM188A_p15889848	614
FAM188A_p15889866	917
FAM188A_p15902195	809
FAM188B_m30811140	573
FAM188B_m30811146	412
FAM188B_m30811162	594
FAM188B_p30811105	1260
FAM188B_p30811111	411
FAM188B_p30811126	1267
FAM188B_p30811131	1229
FAM188B_p30811150	1356
FAM188B_p30818052	3751
FAM188B_p30818058	2171
FAM189A1_m29862752	819
FAM189A1_m29862767	601
FAM189A1_m29862788	1709
FAM189A1_m29862850	478
FAM189A1_p29862773	3469
FAM189A1_p29862795	1981
FAM189A1_p29862819	1570
FAM189A1_p29862824	2934
FAM189A1_p29862829	2032
FAM189A1_p29862857	675
FAM189A2_m71951173	2055
FAM189A2_m71986452	1311
FAM189A2_m71986493	1417
FAM189A2_m71986505	932
FAM189A2_m71986513	1732
FAM189A2_p71986419	915
FAM189A2_p71986444	1457
FAM189A2_p71986456	1373
FAM189A2_p71986465	980
FAM189A2_p71990639	992
FAM189B_m155224558	752
FAM189B_m155224613	961
FAM189B_p155224560	1324
FAM189B_p155224565	302
FAM189B_p155224571	900
FAM189B_p155224577	180
FAM189B_p155224586	84
FAM189B_p155224619	2034
FAM189B_p155224633	1156
FAM189B_p155224638	1799
FAM192A_m57188397	695
FAM192A_m57201006	1766
FAM192A_m57201121	1862
FAM192A_m57206705	3420
FAM192A_m57206774	1381
FAM192A_m57207761	1483
FAM192A_p57197908	760
FAM192A_p57201020	1201
FAM192A_p57201046	357
FAM192A_p57207632	2502
FAM193A_m2632785	126
FAM193A_m2632802	132
FAM193A_m2632817	2358
FAM193A_p2632729	1500
FAM193A_p2632739	216
FAM193A_p2632745	743
FAM193A_p2632751	0
FAM193A_p2632757	1551
FAM193A_p2632767	978
FAM193A_p2632775	2190
FAM193B_m176981295	914
FAM193B_m176981320	410
FAM193B_m176981331	321
FAM193B_m176981343	908
FAM193B_m176981424	2459
FAM193B_m176981430	3031
FAM193B_m176981441	1602
FAM193B_m176981447	731
FAM193B_m176981453	1354
FAM193B_p176981334	967
FAM194A_m150421441	1951
FAM194A_m150421447	1291
FAM194A_m150421503	649
FAM194A_m150421606	1219
FAM194A_m150421656	1317
FAM194A_p150421455	574
FAM194A_p150421612	111
FAM194A_p150421644	594
FAM194A_p150421658	1391
FAM194A_p150421664	1032
FAM194B_m46170944	1449
FAM194B_m46170950	437
FAM194B_m46170956	890
FAM194B_m46171010	1526
FAM194B_m46171022	2085
FAM194B_m46171046	314
FAM194B_p46170967	1011
FAM194B_p46171036	750
FAM194B_p46171050	1536
FAM194B_p46171058	866
FAM195A_m692015	918
FAM195A_m692038	483
FAM195A_m692147	92
FAM195A_m692162	545
FAM195A_p691987	2225
FAM195A_p692114	1543
FAM195A_p692120	2242
FAM195A_p692125	1123
FAM195A_p692130	1326
FAM195A_p692149	824
FAM195B_m79781377	2467
FAM195B_m79781382	865
FAM195B_m79782164	1534
FAM195B_m79782247	899
FAM195B_m79782254	1434
FAM195B_p79782156	1216
FAM195B_p79782171	1762
FAM195B_p79782176	1887
FAM195B_p79782199	522
FAM195B_p79782204	1122
FAM196A_m128974518	674
FAM196A_m128974589	1474
FAM196A_m128974607	2459
FAM196A_m128974619	3108
FAM196A_m128974649	3375
FAM196A_p128974505	1110
FAM196A_p128974562	1653
FAM196A_p128974568	218
FAM196A_p128974578	69
FAM196A_p128974638	2011
FAM196B_m169310776	1946
FAM196B_m169310796	1514
FAM196B_m169310812	127
FAM196B_p169310712	483
FAM196B_p169310730	1174
FAM196B_p169310738	1525
FAM196B_p169310749	1007
FAM196B_p169310778	1349
FAM196B_p169310801	1831
FAM196B_p169310852	816
FAM198A_m43073772	1283
FAM198A_m43073800	3177
FAM198A_m43073817	2322
FAM198A_m43073829	2205
FAM198A_m43073859	1121
FAM198A_p43073744	1246
FAM198A_p43073750	589
FAM198A_p43073764	1101
FAM198A_p43073774	900
FAM198A_p43073866	1233
FAM198B_m159092431	627
FAM198B_m159092440	428
FAM198B_m159092463	1290
FAM198B_m159092507	3116
FAM198B_p159092394	399
FAM198B_p159092403	1254
FAM198B_p159092411	946
FAM198B_p159092418	215
FAM198B_p159092444	1420
FAM198B_p159092454	658
FAM199X_m103411473	1492
FAM199X_m103411482	1620
FAM199X_m103411488	754
FAM199X_m103411517	1585
FAM199X_m103411526	1154
FAM199X_m103411531	1670
FAM199X_p103411456	376
FAM199X_p103411462	277
FAM199X_p103411552	1547
FAM199X_p103411558	794
FAM19A1_m68055801	1318
FAM19A1_m68055840	1305
FAM19A1_m68055848	1754
FAM19A1_m68055864	473
FAM19A1_m68055876	1620
FAM19A1_p68055756	1290
FAM19A1_p68055773	3522
FAM19A1_p68055788	2660
FAM19A1_p68055820	604
FAM19A1_p68466414	2137
FAM19A2_m62148654	2499
FAM19A2_m62148687	944
FAM19A2_m62148694	1113
FAM19A2_m62148731	2584
FAM19A2_m62148772	1072
FAM19A2_m62261136	3865
FAM19A2_p62148659	2815
FAM19A2_p62148678	1261
FAM19A2_p62148742	973
FAM19A2_p62261098	408
FAM19A3_m113264914	1045
FAM19A3_p113264844	2277
FAM19A3_p113264853	1544
FAM19A3_p113264859	3733
FAM19A3_p113264866	1063
FAM19A3_p113264874	1458
FAM19A3_p113264881	1467
FAM19A3_p113264893	1896
FAM19A3_p113264898	1620
FAM19A3_p113264904	3667
FAM19A4_m68802122	1971
FAM19A4_m68802136	780
FAM19A4_m68802149	3274
FAM19A4_m68929892	1476
FAM19A4_m68929934	1115
FAM19A4_m68929959	1292
FAM19A4_p68802107	931
FAM19A4_p68802139	466
FAM19A4_p68929923	2948
FAM19A4_p68929977	1574
FAM19A5_m49042420	681
FAM19A5_m49042444	670
FAM19A5_m49042463	1782
FAM19A5_m49042483	2838
FAM19A5_m49042492	1116
FAM19A5_p49042394	559
FAM19A5_p49042401	396
FAM19A5_p49042424	254
FAM19A5_p49042429	1540
FAM19A5_p49042447	855
FAM200A_m99145762	1106
FAM200A_m99145819	477
FAM200A_m99145948	1100
FAM200A_m99145954	1121
FAM200A_m99145991	631
FAM200A_m99146014	835
FAM200A_p99145829	353
FAM200A_p99145869	1564
FAM200A_p99145960	1154
FAM200A_p99146001	2633
FAM200B_m15688724	1944
FAM200B_m15689185	1410
FAM200B_m15689283	1205
FAM200B_m15689393	1025
FAM200B_p15688660	1869
FAM200B_p15689049	601
FAM200B_p15689112	636
FAM200B_p15689242	28
FAM200B_p15689324	1969
FAM200B_p15689383	403
FAM204A_m120095093	680
FAM204A_m120095830	671
FAM204A_m120095844	260
FAM204A_m120095854	2028
FAM204A_m120095872	2607
FAM204A_p120094681	2706
FAM204A_p120094694	163
FAM204A_p120095687	388
FAM204A_p120095878	21
FAM204A_p120095883	298
FAM205A_m34726978	4168
FAM205A_m34728064	479
FAM205A_m34729371	1518
FAM205A_p34726910	1394
FAM205A_p34726949	1019
FAM205A_p34726962	2456
FAM205A_p34728024	1441
FAM205A_p34728043	617
FAM205A_p34729297	643
FAM205A_p34729361	1824
FAM206A_m111696767	375
FAM206A_m111696776	779
FAM206A_m111696781	1121
FAM206A_m111696788	516
FAM206A_m111696805	2474
FAM206A_p111696792	1111
FAM206A_p111696822	938
FAM206A_p111697947	919
FAM206A_p111698584	3019
FAM206A_p111698612	1152
FAM207A_m46360000	1782
FAM207A_m46360010	844
FAM207A_m46363738	2188
FAM207A_p46359989	2081
FAM207A_p46363662	3829
FAM207A_p46363680	2650
FAM207A_p46363685	618
FAM207A_p46363690	1389
FAM207A_p46363707	2564
FAM207A_p46363725	4697
FAM208A_m56683014	2683
FAM208A_m56683059	1135
FAM208A_m56683068	545
FAM208A_m56694796	727
FAM208A_m56694823	1625
FAM208A_m56694943	1433
FAM208A_p56682873	2070
FAM208A_p56682886	592
FAM208A_p56683050	813
FAM208A_p56694928	114
FAM208B_m5762876	480
FAM208B_m5762905	1214
FAM208B_m5762925	247
FAM208B_p5762827	1562
FAM208B_p5762832	689
FAM208B_p5762878	853
FAM208B_p5762889	1930
FAM208B_p5765718	1794
FAM208B_p5766405	3546
FAM208B_p5766427	546
FAM209A_m55100874	736
FAM209A_m55100879	928
FAM209A_m55100891	1873
FAM209A_m55100931	4226
FAM209A_m55100956	419
FAM209A_p55099970	2059
FAM209A_p55099976	1162
FAM209A_p55100865	976
FAM209A_p55100939	11
FAM209A_p55100948	615
FAM209B_m55108540	1402
FAM209B_m55111239	990
FAM209B_m55111247	1995
FAM209B_m55111259	2783
FAM209B_p55108503	1285
FAM209B_p55108509	473
FAM209B_p55111319	1698
FAM209B_p55111359	1298
FAM209B_p55111367	544
FAM209B_p55111380	3017
FAM20A_m66551791	884
FAM20A_m66551843	1226
FAM20A_p66551731	1304
FAM20A_p66551736	2299
FAM20A_p66551741	2997
FAM20A_p66551756	1777
FAM20A_p66551771	87
FAM20A_p66551780	822
FAM20A_p66551801	1489
FAM20A_p66551812	1165
FAM20B_m179013095	914
FAM20B_m179013103	995
FAM20B_m179013110	1263
FAM20B_m179013144	2581
FAM20B_m179013160	1095
FAM20B_p179013064	1640
FAM20B_p179013076	1275
FAM20B_p179013116	2403
FAM20B_p179013128	934
FAM20B_p179013151	1028
FAM20C_m193200	4526
FAM20C_m193222	4059
FAM20C_m193228	3609
FAM20C_m193240	5042
FAM20C_m193252	3632
FAM20C_m193260	411
FAM20C_m193285	2881
FAM20C_p193192	1293
FAM20C_p193231	494
FAM20C_p193272	691
FAM210A_m13681865	431
FAM210A_m13681872	185
FAM210A_m13681880	2468
FAM210A_m13681943	339
FAM210A_m13682008	1771
FAM210A_m13682024	1462
FAM210A_m13682034	985
FAM210A_m13682058	2760
FAM210A_p13681996	970
FAM210A_p13682038	1095
FAM210B_m54934062	977
FAM210B_m54934117	1673
FAM210B_m54934182	1591
FAM210B_m54934193	893
FAM210B_p54934046	1457
FAM210B_p54934054	2511
FAM210B_p54934064	1176
FAM210B_p54934069	1204
FAM210B_p54934077	1617
FAM210B_p54934185	891
FAM211A_m16395118	632
FAM211A_m16395135	1494
FAM211A_m16395193	213
FAM211A_m16395216	1072
FAM211A_m16395273	1197
FAM211A_m16395284	2551
FAM211A_p16395108	711
FAM211A_p16395126	1351
FAM211A_p16395203	1331
FAM211A_p16395265	1201
FAM211B_m24988831	581
FAM211B_m24988907	1278
FAM211B_m24988960	1226
FAM211B_p24988834	1100
FAM211B_p24988845	679
FAM211B_p24988870	1378
FAM211B_p24988879	623
FAM211B_p24988894	2233
FAM211B_p24988910	751
FAM211B_p24988952	564
FAM212A_m49840866	583
FAM212A_m49841656	372
FAM212A_m49841664	2327
FAM212A_m49841671	906
FAM212A_m49841681	1190
FAM212A_p49840817	1603
FAM212A_p49840847	1226
FAM212A_p49840854	501
FAM212A_p49841610	1322
FAM212A_p49841628	1532
FAM212B_m112270273	358
FAM212B_m112270306	497
FAM212B_m112270320	705
FAM212B_m112270344	993
FAM212B_m112270373	1311
FAM212B_m112270395	1553
FAM212B_m112270409	1026
FAM212B_p112270277	1145
FAM212B_p112270323	1048
FAM212B_p112270399	750
FAM213A_m82180302	2807
FAM213A_m82180320	896
FAM213A_m82180359	548
FAM213A_m82182232	2300
FAM213A_m82182243	1822
FAM213A_m82182254	1745
FAM213A_p82180267	513
FAM213A_p82182173	1156
FAM213A_p82182181	1601
FAM213A_p82182214	984
FAM213B_m2518256	314
FAM213B_m2518306	1469
FAM213B_m2518322	986
FAM213B_m2518341	1370
FAM213B_p2518226	1510
FAM213B_p2518248	252
FAM213B_p2518296	1064
FAM213B_p2518311	1579
FAM213B_p2518329	1827
FAM213B_p2518353	4797
FAM214A_m52905871	338
FAM214A_m52905877	1016
FAM214A_m52906003	1690
FAM214A_m52906012	836
FAM214A_p52903941	1871
FAM214A_p52903946	709
FAM214A_p52905888	724
FAM214A_p52905906	1558
FAM214A_p52905977	1097
FAM214A_p52970189	1167
FAM214B_m35108081	1152
FAM214B_m35108154	2510
FAM214B_m35108170	2056
FAM214B_m35108228	364
FAM214B_m35108255	2632
FAM214B_p35108065	1011
FAM214B_p35108073	1191
FAM214B_p35108083	1024
FAM214B_p35108217	1421
FAM214B_p35108243	1597
FAM216A_m110906700	1565
FAM216A_m110906756	1645
FAM216A_m110906788	192
FAM216A_p110906685	1699
FAM216A_p110906692	1288
FAM216A_p110906716	808
FAM216A_p110906727	1099
FAM216A_p110906775	1883
FAM216A_p110906780	534
FAM216A_p110906791	1248
FAM217A_m4073692	2042
FAM217A_m4073722	2764
FAM217A_m4073734	1227
FAM217A_m4074812	846
FAM217A_m4074824	863
FAM217A_m4074876	926
FAM217A_m4077590	626
FAM217A_p4073703	3884
FAM217A_p4074815	834
FAM217A_p4077593	2701
FAM217B_m58519476	1829
FAM217B_m58519515	1531
FAM217B_m58519660	1491
FAM217B_m58519759	1455
FAM217B_m58519771	2446
FAM217B_m58519801	2074
FAM217B_m58519808	1664
FAM217B_p58519545	630
FAM217B_p58519690	1700
FAM217B_p58519695	1725
FAM219A_m34405915	724
FAM219A_m34405920	2480
FAM219A_m34458236	257
FAM219A_m34458254	2104
FAM219A_p34405898	1447
FAM219A_p34405923	1829
FAM219A_p34405929	985
FAM219A_p34405936	847
FAM219A_p34458221	1943
FAM219A_p34458240	1201
FAM219B_m75198697	476
FAM219B_m75199007	683
FAM219B_m75199120	437
FAM219B_p75198687	2731
FAM219B_p75198913	923
FAM219B_p75198922	781
FAM219B_p75198947	1606
FAM219B_p75199015	679
FAM219B_p75199022	572
FAM219B_p75199102	641
FAM220A_m6370576	3161
FAM220A_m6370610	1067
FAM220A_m6370627	1072
FAM220A_m6370671	1159
FAM220A_m6370718	981
FAM220A_m6370726	1321
FAM220A_m6370732	849
FAM220A_p6370615	1116
FAM220A_p6370660	1435
FAM220A_p6370734	2430
FAM221A_m23719890	851
FAM221A_m23728936	1478
FAM221A_m23728948	1332
FAM221A_m23728953	988
FAM221A_m23728968	1914
FAM221A_p23719840	1902
FAM221A_p23719848	1461
FAM221A_p23719869	1526
FAM221A_p23719877	988
FAM221A_p23728939	1428
FAM221B_m35825860	969
FAM221B_m35826118	1439
FAM221B_p35825870	1024
FAM221B_p35825875	1368
FAM221B_p35825904	432
FAM221B_p35825914	2007
FAM221B_p35825922	2166
FAM221B_p35826037	1270
FAM221B_p35826062	766
FAM221B_p35826108	1934
FAM222A_m110181952	1965
FAM222A_m110181961	838
FAM222A_m110181986	331
FAM222A_m110181992	1635
FAM222A_m110181998	651
FAM222A_m110182003	357
FAM222A_m110182008	400
FAM222A_m110182019	1117
FAM222A_m110205831	381
FAM222A_p110205802	281
FAM222B_m27086740	1396
FAM222B_m27086825	1292
FAM222B_m27093617	1053
FAM222B_m27093667	1001
FAM222B_p27086747	1255
FAM222B_p27086830	984
FAM222B_p27093628	624
FAM222B_p27093641	2044
FAM222B_p27093647	1497
FAM222B_p27093655	710
FAM227A_m39041640	1958
FAM227A_m39046055	1370
FAM227A_m39046073	480
FAM227A_m39046083	392
FAM227A_m39046151	957
FAM227A_m39046161	607
FAM227A_p39046096	1339
FAM227A_p39046105	1215
FAM227A_p39046110	1376
FAM227A_p39046118	5666
FAM227B_m49869827	750
FAM227B_m49881997	823
FAM227B_m49882098	375
FAM227B_m49882191	1510
FAM227B_m49907327	6784
FAM227B_m49907363	2193
FAM227B_p49869842	2250
FAM227B_p49903427	735
FAM227B_p49907337	251
FAM227B_p49907347	1563
FAM228A_m24398415	1366
FAM228A_m24398428	1164
FAM228A_m24400731	517
FAM228A_m24406168	2234
FAM228A_m24406180	1337
FAM228A_p24398368	1434
FAM228A_p24398417	597
FAM228A_p24406182	4282
FAM228A_p24406193	3957
FAM228A_p24406201	1389
FAM228B_m24360809	67
FAM228B_m24369624	1281
FAM228B_m24369629	2327
FAM228B_m24369856	1369
FAM228B_p24347236	1965
FAM228B_p24347243	1956
FAM228B_p24357990	404
FAM228B_p24369683	1103
FAM228B_p24369818	1751
FAM228B_p24369859	564
FAM229A_m32827601	799
FAM229A_m32827607	1404
FAM229A_m32827613	855
FAM229A_m32827643	3460
FAM229A_m32827671	1690
FAM229A_p32827615	1595
FAM229A_p32827621	877
FAM229A_p32827635	182
FAM229A_p32827645	853
FAM229A_p32827650	829
FAM229B_m112420508	1166
FAM229B_m112420525	1195
FAM229B_m112420561	1534
FAM229B_m112420583	525
FAM229B_p112420493	2409
FAM229B_p112420510	2287
FAM229B_p112420533	408
FAM229B_p112420540	1735
FAM229B_p112420567	1823
FAM229B_p112420572	1266
FAM24A_m124671217	2452
FAM24A_m124671230	2795
FAM24A_p124671151	2147
FAM24A_p124671168	3269
FAM24A_p124671174	96
FAM24A_p124671188	2574
FAM24A_p124671200	820
FAM24A_p124671245	483
FAM24A_p124672280	2741
FAM24A_p124672315	1360
FAM24B_m124608881	1994
FAM24B_m124608897	2356
FAM24B_m124608932	2430
FAM24B_m124610003	513
FAM24B_m124610014	1285
FAM24B_p124608889	3006
FAM24B_p124609970	2289
FAM24B_p124609977	2089
FAM24B_p124609985	1639
FAM24B_p124610005	2826
FAM32A_m16296287	459
FAM32A_m16296473	477
FAM32A_p16296249	141
FAM32A_p16296291	1467
FAM32A_p16296305	689
FAM32A_p16296452	482
FAM32A_p16296462	922
FAM32A_p16296498	571
FAM32A_p16296503	3535
FAM32A_p16296511	2150
FAM35A_m88911305	2521
FAM35A_m88911757	698
FAM35A_m88930377	1397
FAM35A_m88939875	1199
FAM35A_p88911312	1218
FAM35A_p88911775	1750
FAM35A_p88930407	849
FAM35A_p88939938	1305
FAM35A_p88946845	1116
FAM35A_p88950253	2888
FAM3A_m153736922	361
FAM3A_m153740182	2044
FAM3A_m153740192	2666
FAM3A_m153744082	1580
FAM3A_m153744089	1577
FAM3A_p153736867	1370
FAM3A_p153736872	400
FAM3A_p153736896	2429
FAM3A_p153736903	739
FAM3A_p153736909	934
FAM3B_m42688814	943
FAM3B_m42710335	381
FAM3B_m42710345	2216
FAM3B_m42710350	2362
FAM3B_m42710361	1196
FAM3B_p42688796	3680
FAM3B_p42688803	3914
FAM3B_p42710363	522
FAM3B_p42716387	1328
FAM3B_p42716399	3356
FAM3D_m58639407	2184
FAM3D_m58639464	651
FAM3D_m58639493	750
FAM3D_m58641279	3099
FAM3D_p58635039	1385
FAM3D_p58635046	721
FAM3D_p58639397	1493
FAM3D_p58639455	2878
FAM3D_p58639466	2695
FAM3D_p58639472	1638
FAM43A_m194407564	1426
FAM43A_m194407603	99
FAM43A_m194407619	1859
FAM43A_m194407624	1741
FAM43A_m194407644	803
FAM43A_p194407544	301
FAM43A_p194407569	4322
FAM43A_p194407575	694
FAM43A_p194407605	645
FAM43A_p194407632	2666
FAM43B_m20879475	1265
FAM43B_m20879515	626
FAM43B_m20879551	2892
FAM43B_m20879569	2113
FAM43B_m20879576	1773
FAM43B_p20879477	1825
FAM43B_p20879483	1651
FAM43B_p20879489	1003
FAM43B_p20879501	3163
FAM43B_p20879519	3247
FAM45A_m120863667	2380
FAM45A_m120877158	1778
FAM45A_m120879952	1712
FAM45A_m120883066	318
FAM45A_p120863647	3047
FAM45A_p120863653	1193
FAM45A_p120863687	2278
FAM45A_p120871418	1254
FAM45A_p120877025	1245
FAM45A_p120877145	2441
FAM46A_m82461680	98
FAM46A_m82461701	2943
FAM46A_m82461711	470
FAM46A_m82461724	754
FAM46A_m82461772	344
FAM46A_m82461824	2997
FAM46A_m82461843	1870
FAM46A_m82461850	1083
FAM46A_p82461661	1666
FAM46A_p82461810	1451
FAM46B_m27339079	467
FAM46B_m27339108	266
FAM46B_m27339121	1266
FAM46B_m27339130	1675
FAM46B_m27339144	2511
FAM46B_m27339151	980
FAM46B_p27339005	2029
FAM46B_p27339027	555
FAM46B_p27339032	584
FAM46B_p27339132	724
FAM46C_m118165515	1538
FAM46C_m118165561	2260
FAM46C_m118165576	1347
FAM46C_m118165592	2809
FAM46C_p118165494	1879
FAM46C_p118165524	3255
FAM46C_p118165531	1605
FAM46C_p118165539	654
FAM46C_p118165549	1022
FAM46C_p118165583	1472
FAM47C_m37026535	1334
FAM47C_m37026659	2415
FAM47C_m37026810	1264
FAM47C_m37026939	1738
FAM47C_p37026487	523
FAM47C_p37026520	2415
FAM47C_p37026931	1203
FAM47C_p37026941	208
FAM47C_p37026948	2788
FAM47C_p37026959	1534
FAM47E_m77184889	320
FAM47E_p77184846	541
FAM47E_p77184852	1849
FAM47E_p77184872	2494
FAM47E_p77184879	2512
FAM47E_p77184891	673
FAM47E_p77184903	1650
FAM47E_p77184911	1358
FAM47E_p77184916	5275
FAM47E_p77184924	2184
FAM49A_m16746932	873
FAM49A_m16746938	2355
FAM49A_m16746948	1770
FAM49A_m16746978	512
FAM49A_m16747003	3222
FAM49A_m16747019	2315
FAM49A_m16769359	1418
FAM49A_p16745326	3980
FAM49A_p16746905	1318
FAM49A_p16746960	1832
FAM49B_m130874515	2936
FAM49B_m130883622	2137
FAM49B_m130883639	4910
FAM49B_m130883664	306
FAM49B_m130883703	502
FAM49B_m130891663	3085
FAM49B_p130874552	311
FAM49B_p130883613	734
FAM49B_p130883711	1393
FAM49B_p130883716	1326
FAM50A_m153672583	209
FAM50A_m153672616	585
FAM50A_m153672625	572
FAM50A_m153672632	400
FAM50A_m153673999	1859
FAM50A_p153672575	1257
FAM50A_p153672590	588
FAM50A_p153672644	138
FAM50A_p153672668	112
FAM50A_p153674012	243
FAM53A_m1659146	1614
FAM53A_m1659163	1172
FAM53A_m1659182	510
FAM53A_m1670395	4222
FAM53A_m1670400	4276
FAM53A_m1670407	1176
FAM53A_m1670428	1183
FAM53A_p1659152	2309
FAM53A_p1670413	2237
FAM53A_p1670447	1567
FAM53B_m126370922	7271
FAM53B_m126370927	2423
FAM53B_m126395206	2289
FAM53B_m126395225	1228
FAM53B_m126395248	2208
FAM53B_m126395275	2296
FAM53B_p126384752	1662
FAM53B_p126395191	1761
FAM53B_p126395198	2919
FAM53B_p126395213	1531
FAM53C_m137677034	546
FAM53C_m137677500	1452
FAM53C_m137677506	2692
FAM53C_m137677525	670
FAM53C_m137677544	2664
FAM53C_p137677044	997
FAM53C_p137677080	588
FAM53C_p137677509	665
FAM53C_p137677533	1042
FAM53C_p137680504	1150
FAM57A_m635886	1878
FAM57A_m635961	583
FAM57A_m635966	1014
FAM57A_m635971	2284
FAM57A_m635982	1698
FAM57A_m635987	1101
FAM57A_p635927	401
FAM57A_p636328	935
FAM57A_p636343	929
FAM57A_p636350	1196
FAM57B_m30040819	1068
FAM57B_m30041725	1046
FAM57B_p30040781	1748
FAM57B_p30040793	2270
FAM57B_p30040798	1593
FAM57B_p30040805	868
FAM57B_p30041745	310
FAM57B_p30041770	1007
FAM57B_p30041775	405
FAM57B_p30041788	1368
FAM58A_m152858158	188
FAM58A_m152858175	3981
FAM58A_m152860006	1064
FAM58A_m152860081	671
FAM58A_m152860122	167
FAM58A_m152861634	416
FAM58A_p152859997	347
FAM58A_p152861517	1371
FAM58A_p152861538	3013
FAM58A_p152864462	883
FAM5B_m177199065	3014
FAM5B_m177199077	1521
FAM5B_p177198998	1231
FAM5B_p177199006	2159
FAM5B_p177199013	2025
FAM5B_p177199021	772
FAM5B_p177199028	447
FAM5B_p177199035	1444
FAM5B_p177199079	2408
FAM5B_p177199086	97
FAM5C_m190423868	874
FAM5C_m190423914	1175
FAM5C_m190423938	1182
FAM5C_m190423963	194
FAM5C_m190423968	724
FAM5C_m190423977	2142
FAM5C_m190424000	1234
FAM5C_p190423841	1594
FAM5C_p190423857	829
FAM5C_p190423870	3098
FAM63A_m150973050	2397
FAM63A_m150973057	1489
FAM63A_m150974202	717
FAM63A_m150974212	1836
FAM63A_m150974224	2012
FAM63A_m150974646	504
FAM63A_p150973072	2018
FAM63A_p150973742	76
FAM63A_p150974185	608
FAM63A_p150974636	1571
FAM63B_m59063609	1302
FAM63B_m59063651	2008
FAM63B_p59063612	1405
FAM63B_p59063642	990
FAM63B_p59063653	2783
FAM63B_p59063658	3182
FAM63B_p59063665	1418
FAM63B_p59063673	1542
FAM63B_p59063684	933
FAM63B_p59063690	2064
FAM64A_m6348461	1082
FAM64A_m6348596	1349
FAM64A_m6348605	2029
FAM64A_m6348612	1198
FAM64A_p6348422	635
FAM64A_p6348432	525
FAM64A_p6348489	1703
FAM64A_p6348516	1564
FAM64A_p6348529	1137
FAM64A_p6348614	2116
FAM65A_m67572359	3511
FAM65A_m67572373	312
FAM65A_m67572395	705
FAM65A_m67572411	812
FAM65A_m67572416	2077
FAM65A_p67572342	2077
FAM65A_p67572347	937
FAM65A_p67572375	1011
FAM65A_p67572383	795
FAM65A_p67572400	669
FAM65B_m24875929	1841
FAM65B_m24875934	868
FAM65B_m24875942	317
FAM65B_m24875951	1344
FAM65B_m24875977	339
FAM65B_m24876011	1520
FAM65B_p24873978	1672
FAM65B_p24875913	2171
FAM65B_p24875959	1356
FAM65B_p24875969	253
FAM65C_m49236594	1477
FAM65C_m49236656	2763
FAM65C_m49247282	821
FAM65C_m49247375	2350
FAM65C_p49236596	1547
FAM65C_p49236626	3554
FAM65C_p49236641	1866
FAM65C_p49247291	4307
FAM65C_p49247302	2890
FAM65C_p49247363	685
FAM69A_m93316406	3047
FAM69A_m93316438	450
FAM69A_m93316482	181
FAM69A_m93316495	1194
FAM69A_m93426966	1524
FAM69A_m93426980	1094
FAM69A_p93316392	1886
FAM69A_p93316398	1442
FAM69A_p93316442	1250
FAM69A_p93316456	2696
FAM69B_m139607137	1058
FAM69B_m139607162	232
FAM69B_m139607169	1098
FAM69B_m139612039	1917
FAM69B_m139612045	771
FAM69B_p139607103	250
FAM69B_p139607109	448
FAM69B_p139612026	330
FAM69B_p139612050	2879
FAM69B_p139612055	667
FAM69C_m72124354	1474
FAM69C_m72124385	1108
FAM69C_m72124396	836
FAM69C_m72124404	1838
FAM69C_m72124435	1635
FAM69C_m72124443	910
FAM69C_m72124488	362
FAM69C_p72124343	797
FAM69C_p72124356	2057
FAM69C_p72124445	1406
FAM71A_m212798243	605
FAM71A_m212798256	1116
FAM71A_m212798268	1338
FAM71A_m212798351	894
FAM71A_m212798419	3349
FAM71A_m212798430	407
FAM71A_p212798272	2700
