gRNA	KBM7.initial
C4orf32_p113108010	420
C4orf32_p113108025	231
C4orf33_m130023804	206
C4orf33_m130023819	313
C4orf33_m130023840	272
C4orf33_m130023921	551
C4orf33_m130030464	416
C4orf33_m130030639	668
C4orf33_p130023808	572
C4orf33_p130023828	511
C4orf33_p130023924	622
C4orf33_p130030487	622
C4orf36_m87809335	185
C4orf36_m87809354	271
C4orf36_m87809391	198
C4orf36_m87812665	316
C4orf36_p87809357	604
C4orf36_p87809364	541
C4orf36_p87809370	321
C4orf36_p87809398	550
C4orf36_p87809409	692
C4orf36_p87812652	266
C4orf3_m120221600	847
C4orf3_m120221621	247
C4orf3_m120221626	655
C4orf3_m120221637	242
C4orf3_m120221642	632
C4orf3_m120221647	613
C4orf3_m120221655	271
C4orf3_m120221664	98
C4orf3_m120221673	438
C4orf3_m120221683	444
C4orf45_m159894252	589
C4orf45_m159894293	359
C4orf45_m159894356	375
C4orf45_m159894394	1084
C4orf45_m159894408	491
C4orf45_m159894448	63
C4orf45_p159894326	586
C4orf45_p159894438	82
C4orf45_p159956201	399
C4orf45_p159956227	329
C4orf48_m2044107	92
C4orf48_m2044181	513
C4orf48_m2044466	179
C4orf48_m2044484	361
C4orf48_m2044489	580
C4orf48_p2044131	839
C4orf48_p2044140	72
C4orf48_p2044148	615
C4orf48_p2044493	796
C4orf48_p2044501	514
C4orf6_m5527057	304
C4orf6_m5527067	282
C4orf6_m5527128	73
C4orf6_m5527173	90
C4orf6_m5527974	199
C4orf6_m5527990	623
C4orf6_m5528013	879
C4orf6_m5528029	82
C4orf6_p5527178	552
C4orf6_p5527187	308
C5orf15_m133304138	69
C5orf15_m133304172	404
C5orf15_m133304195	337
C5orf15_m133304214	1019
C5orf15_m133304219	1117
C5orf15_m133304247	417
C5orf15_m133304254	376
C5orf15_p133304128	40
C5orf15_p133304142	384
C5orf15_p133304197	344
C5orf22_m31532544	477
C5orf22_m31534398	100
C5orf22_m31534462	259
C5orf22_m31534467	432
C5orf22_p31532496	309
C5orf22_p31532512	374
C5orf22_p31532546	182
C5orf22_p31532555	471
C5orf22_p31534376	267
C5orf22_p31534384	18
C5orf24_m134190602	448
C5orf24_m134190609	1334
C5orf24_m134190635	1209
C5orf24_m134190644	678
C5orf24_m134190652	178
C5orf24_m134190666	743
C5orf24_m134190699	222
C5orf24_m134190721	409
C5orf24_m134190733	197
C5orf24_p134190614	761
C5orf28_m43453841	475
C5orf28_m43453865	883
C5orf28_m43453875	703
C5orf28_m43453885	952
C5orf28_m43453892	981
C5orf28_m43453994	202
C5orf28_m43454000	101
C5orf28_p43453789	386
C5orf28_p43453959	546
C5orf28_p43454025	428
C5orf30_m102611657	1765
C5orf30_m102611697	148
C5orf30_m102611723	727
C5orf30_m102611748	722
C5orf30_m102611762	639
C5orf30_m102611775	419
C5orf30_m102611781	464
C5orf30_p102611766	657
C5orf30_p102611785	563
C5orf30_p102611797	545
C5orf34_m43506395	272
C5orf34_m43506429	588
C5orf34_m43506466	1000
C5orf34_m43509352	105
C5orf34_m43509379	471
C5orf34_p43506418	54
C5orf34_p43506439	302
C5orf34_p43509271	561
C5orf34_p43509283	37
C5orf34_p43509298	656
C5orf38_m2752390	294
C5orf38_m2752410	577
C5orf38_m2752436	332
C5orf38_m2752443	323
C5orf38_m2752449	194
C5orf38_p2752371	628
C5orf38_p2752376	526
C5orf38_p2752401	128
C5orf38_p2752416	217
C5orf38_p2752422	198
C5orf42_m37245691	325
C5orf42_m37245844	138
C5orf42_m37245888	230
C5orf42_m37247721	256
C5orf42_m37247726	268
C5orf42_m37247731	596
C5orf42_m37247768	317
C5orf42_p37245797	383
C5orf42_p37245808	761
C5orf42_p37245831	1160
C5orf45_m179268987	904
C5orf45_m179268997	162
C5orf45_m179269037	244
C5orf45_m179280402	406
C5orf45_m179285741	18
C5orf45_m179285774	595
C5orf45_p179268989	609
C5orf45_p179269028	204
C5orf45_p179285720	709
C5orf45_p179285726	681
C5orf46_m147281296	538
C5orf46_m147285996	475
C5orf46_m147286029	548
C5orf46_p147281247	896
C5orf46_p147281284	194
C5orf46_p147281305	828
C5orf46_p147285983	884
C5orf46_p147285988	93
C5orf46_p147286009	733
C5orf46_p147286021	463
C5orf47_m173416418	188
C5orf47_p173416253	350
C5orf47_p173416261	738
C5orf47_p173416308	245
C5orf47_p173416326	383
C5orf47_p173416340	314
C5orf47_p173416350	471
C5orf47_p173416359	462
C5orf47_p173416366	615
C5orf47_p173416408	393
C5orf48_m125967453	356
C5orf48_m125967462	241
C5orf48_m125968288	686
C5orf48_m125971746	239
C5orf48_m125971864	784
C5orf48_p125967414	185
C5orf48_p125968324	138
C5orf48_p125971717	683
C5orf48_p125971729	187
C5orf48_p125971780	315
C5orf51_m41904470	224
C5orf51_m41904479	1015
C5orf51_m41904533	405
C5orf51_m41904560	187
C5orf51_m41907886	280
C5orf51_m41909904	973
C5orf51_p41904483	638
C5orf51_p41904493	1431
C5orf51_p41904538	292
C5orf51_p41904547	59
C5orf52_m157098634	527
C5orf52_m157098653	953
C5orf52_m157098668	77
C5orf52_m157098686	221
C5orf52_m157098692	683
C5orf52_m157098701	563
C5orf52_p157098617	455
C5orf52_p157098624	525
C5orf52_p157098639	640
C5orf52_p157098655	363
C5orf54_m159822252	392
C5orf54_m159822320	378
C5orf54_m159822439	200
C5orf54_m159822455	407
C5orf54_m159822478	479
C5orf54_p159822242	304
C5orf54_p159822261	300
C5orf54_p159822267	769
C5orf54_p159822393	885
C5orf54_p159822425	47
C5orf55_m442816	332
C5orf55_m442822	163
C5orf55_m442850	492
C5orf55_m442857	156
C5orf55_m442888	179
C5orf55_m442893	511
C5orf55_p442767	171
C5orf55_p442805	168
C5orf55_p442829	0
C5orf55_p442911	689
C5orf63_m126383597	483
C5orf63_m126387469	337
C5orf63_m126394575	220
C5orf63_m126394640	360
C5orf63_m126394681	268
C5orf63_p126387544	636
C5orf63_p126388327	211
C5orf63_p126394564	420
C5orf63_p126394591	326
C5orf63_p126394621	528
C6orf106_m34664255	172
C6orf106_m34664324	412
C6orf106_m34664352	651
C6orf106_m34664358	1219
C6orf106_p34664237	467
C6orf106_p34664247	504
C6orf106_p34664293	818
C6orf106_p34664304	72
C6orf106_p34664330	738
C6orf106_p34664337	380
C6orf10_m32334051	396
C6orf10_m32335703	932
C6orf10_m32335709	517
C6orf10_m32337675	479
C6orf10_m32337715	158
C6orf10_m32337729	355
C6orf10_p32322896	382
C6orf10_p32334053	533
C6orf10_p32336556	314
C6orf10_p32337718	244
C6orf118_m165715712	218
C6orf118_m165715754	1398
C6orf118_m165715774	226
C6orf118_m165723062	483
C6orf118_m165723068	644
C6orf118_p165715691	214
C6orf118_p165715719	444
C6orf118_p165715733	191
C6orf118_p165715758	304
C6orf118_p165715766	369
C6orf120_m170102580	789
C6orf120_m170102585	247
C6orf120_m170102598	393
C6orf120_m170102611	834
C6orf120_m170102616	34
C6orf120_m170102663	502
C6orf120_p170102572	338
C6orf120_p170102623	77
C6orf120_p170102629	471
C6orf120_p170102671	647
C6orf132_m42096448	605
C6orf132_m42096470	548
C6orf132_m42096493	270
C6orf132_m42110070	323
C6orf132_m42110083	113
C6orf132_p42110062	266
C6orf132_p42110074	684
C6orf132_p42110086	446
C6orf132_p42110092	367
C6orf132_p42110131	339
C6orf136_m30615036	826
C6orf136_m30615049	316
C6orf136_m30615055	614
C6orf136_m30618776	494
C6orf136_m30618787	294
C6orf136_m30618795	680
C6orf136_m30618816	887
C6orf136_m30618844	442
C6orf136_p30615003	365
C6orf136_p30618802	469
C6orf141_m49518544	799
C6orf141_m49518562	540
C6orf141_m49518637	179
C6orf141_m49518672	76
C6orf141_m49518678	431
C6orf141_p49518598	210
C6orf141_p49518623	149
C6orf141_p49518640	299
C6orf141_p49518664	761
C6orf141_p49518681	341
C6orf15_m31080057	422
C6orf15_m31080298	402
C6orf15_m31080314	1174
C6orf15_m31080319	1824
C6orf15_m31080327	662
C6orf15_p31080044	275
C6orf15_p31080265	1090
C6orf15_p31080271	403
C6orf15_p31080279	752
C6orf15_p31080301	682
C6orf163_m88054902	353
C6orf163_m88054915	194
C6orf163_p88054943	320
C6orf163_p88058514	478
C6orf163_p88058595	1618
C6orf163_p88058602	440
C6orf163_p88060197	323
C6orf163_p88066065	391
C6orf163_p88066083	317
C6orf163_p88066100	518
C6orf165_m88119563	976
C6orf165_m88119576	280
C6orf165_m88119627	707
C6orf165_m88120319	425
C6orf165_p88119550	397
C6orf165_p88119567	304
C6orf165_p88119587	287
C6orf165_p88119608	1172
C6orf165_p88120298	316
C6orf165_p88120311	595
C6orf195_m2623933	303
C6orf195_m2623959	632
C6orf195_m2623964	558
C6orf195_m2623982	354
C6orf195_m2624012	211
C6orf195_m2624032	98
C6orf195_p2623971	119
C6orf195_p2624016	24
C6orf195_p2624024	710
C6orf195_p2624037	974
C6orf1_m34214609	840
C6orf1_m34214625	725
C6orf1_m34214633	188
C6orf1_m34214834	695
C6orf1_m34214852	1198
C6orf1_m34214873	730
C6orf1_p34214857	468
C6orf1_p34214875	537
C6orf1_p34214897	637
C6orf1_p34214907	569
C6orf201_m4087889	444
C6orf201_m4087905	483
C6orf201_m4087913	269
C6orf201_m4087933	242
C6orf201_m4099232	509
C6orf201_m4099409	472
C6orf201_m4099419	501
C6orf201_p4087895	204
C6orf201_p4087925	103
C6orf201_p4099343	323
C6orf203_m107360965	648
C6orf203_m107361012	425
C6orf203_m107361044	785
C6orf203_m107361054	389
C6orf203_m107361109	525
C6orf203_m107361296	122
C6orf203_p107360951	506
C6orf203_p107360973	407
C6orf203_p107361003	418
C6orf203_p107361392	101
C6orf211_m151773694	157
C6orf211_m151779500	109
C6orf211_m151779546	336
C6orf211_m151779590	146
C6orf211_p151773673	536
C6orf211_p151773686	238
C6orf211_p151773697	232
C6orf211_p151775712	343
C6orf211_p151779490	167
C6orf211_p151779556	477
C6orf223_m43968365	76
C6orf223_m43968384	397
C6orf223_m43968390	378
C6orf223_m43968404	707
C6orf223_m43968423	222
C6orf223_m43968762	297
C6orf223_p43968356	481
C6orf223_p43968374	533
C6orf223_p43968396	675
C6orf223_p43968411	788
C6orf226_m42858422	446
C6orf226_m42858432	962
C6orf226_m42858437	43
C6orf226_p42858396	188
C6orf226_p42858401	661
C6orf226_p42858411	176
C6orf226_p42858445	194
C6orf226_p42858460	445
C6orf226_p42858466	1107
C6orf226_p42858471	1119
C6orf47_m31627608	193
C6orf47_m31627618	836
C6orf47_m31627684	233
C6orf47_m31627704	861
C6orf47_p31627623	229
C6orf47_p31627629	389
C6orf47_p31627638	56
C6orf47_p31627647	175
C6orf47_p31627654	320
C6orf47_p31627696	1144
C6orf48_m31805104	562
C6orf48_m31805163	656
C6orf48_m31805188	2473
C6orf48_m31805193	323
C6orf48_m31805201	483
C6orf48_p31805145	441
C6orf48_p31805150	812
C6orf48_p31805155	885
C6orf48_p31807326	661
C6orf48_p31807332	691
C6orf52_m10687286	723
C6orf52_m10687298	43
C6orf52_m10687316	659
C6orf52_m10687333	651
C6orf52_m10687371	121
C6orf52_m10687714	289
C6orf52_p10687323	245
C6orf52_p10687336	251
C6orf52_p10687341	149
C6orf52_p10687755	741
C6orf57_m71276651	221
C6orf57_m71276664	699
C6orf57_m71276689	221
C6orf57_m71289125	827
C6orf57_m71289194	365
C6orf57_p71276656	79
C6orf57_p71276669	225
C6orf57_p71276674	453
C6orf57_p71276681	831
C6orf57_p71289196	473
C6orf62_m24716449	531
C6orf62_m24718775	663
C6orf62_p24716429	260
C6orf62_p24716438	436
C6orf62_p24716458	576
C6orf62_p24716490	315
C6orf62_p24718764	387
C6orf62_p24718790	179
C6orf62_p24718856	313
C6orf62_p24718864	16
C6orf70_m170153976	453
C6orf70_m170153984	536
C6orf70_m170153998	546
C6orf70_m170155421	1393
C6orf70_p170154055	469
C6orf70_p170154068	620
C6orf70_p170154106	414
C6orf70_p170155367	134
C6orf70_p170155375	161
C6orf70_p170155409	389
C6orf89_m36867236	278
C6orf89_m36867293	219
C6orf89_m36867378	165
C6orf89_m36867388	149
C6orf89_m36867393	522
C6orf89_m36870009	565
C6orf89_p36867258	472
C6orf89_p36867283	665
C6orf89_p36867297	496
C6orf89_p36869989	390
C6orf99_m159316338	202
C6orf99_m159316344	650
C6orf99_m159316350	134
C6orf99_m159316357	625
C6orf99_m159316374	544
C6orf99_p159316257	848
C6orf99_p159316269	531
C6orf99_p159316363	466
C6orf99_p159331011	412
C6orf99_p159331018	769
C7orf10_m40174598	622
C7orf10_m40174604	489
C7orf10_m40174708	391
C7orf10_m40220544	119
C7orf10_p40174612	611
C7orf10_p40174617	656
C7orf10_p40174652	407
C7orf10_p40174657	28
C7orf10_p40174697	142
C7orf10_p40220546	253
C7orf25_m42950224	165
C7orf25_m42950273	1353
C7orf25_m42950337	749
C7orf25_m42950372	400
C7orf25_m42950456	953
C7orf25_p42950234	294
C7orf25_p42950264	800
C7orf25_p42950436	302
C7orf25_p42950442	101
C7orf25_p42950463	564
C7orf26_m6629915	1109
C7orf26_m6629928	437
C7orf26_m6629946	616
C7orf26_m6629963	272
C7orf26_m6629982	352
C7orf26_m6630047	350
C7orf26_p6629949	517
C7orf26_p6630012	156
C7orf26_p6630018	153
C7orf26_p6630054	409
C7orf29_m150027504	985
C7orf29_m150027527	823
C7orf29_m150027548	278
C7orf29_m150027561	609
C7orf29_m150027573	239
C7orf29_p150027486	760
C7orf29_p150027495	226
C7orf29_p150027516	52
C7orf29_p150027552	428
C7orf29_p150027576	202
C7orf31_m25208017	415
C7orf31_m25208040	466
C7orf31_m25208050	113
C7orf31_m25208070	712
C7orf31_m25218800	302
C7orf31_m25218883	898
C7orf31_m25218893	899
C7orf31_m25218909	76
C7orf31_p25218790	550
C7orf31_p25218806	188
C7orf34_m142636737	281
C7orf34_m142636759	613
C7orf34_p142636650	777
C7orf34_p142636657	514
C7orf34_p142636664	94
C7orf34_p142636687	938
C7orf34_p142636692	300
C7orf34_p142636762	20
C7orf34_p142636778	466
C7orf34_p142636787	210
C7orf41_m30174763	399
C7orf41_m30174798	1034
C7orf41_m30174806	117
C7orf41_m30174863	968
C7orf41_p30174748	243
C7orf41_p30174768	260
C7orf41_p30174819	983
C7orf41_p30174868	155
C7orf41_p30174875	581
C7orf41_p30174881	233
C7orf43_m99755887	885
C7orf43_m99755899	670
C7orf43_m99755908	0
C7orf43_m99755965	474
C7orf43_m99756003	268
C7orf43_m99756088	247
C7orf43_p99755866	296
C7orf43_p99755910	253
C7orf43_p99756091	507
C7orf43_p99756101	265
C7orf49_m134852524	1330
C7orf49_m134853539	2140
C7orf49_m134853550	657
C7orf49_m134853586	1008
C7orf49_m134853613	311
C7orf49_m134853629	588
C7orf49_p134853531	279
C7orf49_p134853557	86
C7orf49_p134853595	218
C7orf49_p134853616	493
C7orf50_m1049754	197
C7orf50_m1049759	158
C7orf50_m1049764	610
C7orf50_m1166894	394
C7orf50_m1166908	598
C7orf50_m1166914	119
C7orf50_m1166947	1063
C7orf50_p1049737	436
C7orf50_p1166880	993
C7orf50_p1166896	203
C7orf55_m139026203	413
C7orf55_m139026215	808
C7orf55_m139026227	724
C7orf55_m139026233	1120
C7orf55_m139026243	147
C7orf55_p139026121	576
C7orf55_p139026177	763
C7orf55_p139026184	55
C7orf55_p139026207	261
C7orf55_p139026245	435
C7orf60_m112579670	422
C7orf60_m112579690	466
C7orf60_m112579695	469
C7orf60_m112579708	369
C7orf60_m112579757	944
C7orf60_m112579762	485
C7orf60_m112579796	478
C7orf60_p112579673	986
C7orf60_p112579711	131
C7orf60_p112579769	185
C7orf61_m100061215	644
C7orf61_m100061233	496
C7orf61_m100061587	165
C7orf61_m100061600	337
C7orf61_m100061611	360
C7orf61_m100061620	234
C7orf61_m100061641	888
C7orf61_p100061242	895
C7orf61_p100061255	249
C7orf61_p100061602	875
C7orf62_m88424099	552
C7orf62_m88424112	112
C7orf62_p88423950	798
C7orf62_p88423956	894
C7orf62_p88423994	302
C7orf62_p88424073	425
C7orf62_p88424144	137
C7orf62_p88424158	1179
C7orf62_p88424165	1147
C7orf62_p88424194	724
C8orf22_m49985390	1052
C8orf22_m49985399	823
C8orf22_m49985404	737
C8orf22_m49985418	446
C8orf22_m49985426	234
C8orf22_m49986623	569
C8orf22_m49986688	365
C8orf22_m49986800	203
C8orf22_p49986673	1971
C8orf22_p49986784	463
C8orf31_m144124433	309
C8orf31_m144124446	514
C8orf31_m144124476	528
C8orf31_m144124617	566
C8orf31_m144124623	642
C8orf31_p144124437	1015
C8orf31_p144124481	464
C8orf31_p144124572	762
C8orf31_p144124579	526
C8orf31_p144124638	456
C8orf33_m146277970	456
C8orf33_m146278009	202
C8orf33_m146278015	501
C8orf33_m146278044	496
C8orf33_m146278058	249
C8orf33_m146278065	214
C8orf33_m146278071	836
C8orf33_m146278079	327
C8orf33_p146278031	58
C8orf33_p146278050	214
C8orf34_m69243260	571
C8orf34_m69243266	380
C8orf34_m69243297	394
C8orf34_m69243369	517
C8orf34_m69243391	221
C8orf34_m69243445	343
C8orf34_p69243277	532
C8orf34_p69243284	210
C8orf34_p69243371	682
C8orf34_p69243377	525
C8orf37_m96281294	646
C8orf37_m96281316	32
C8orf37_m96281325	645
C8orf37_m96281347	241
C8orf37_m96281392	358
C8orf37_m96281404	458
C8orf37_m96281410	795
C8orf37_p96281284	185
C8orf37_p96281306	185
C8orf37_p96281383	316
C8orf42_m444495	128
C8orf42_m444524	569
C8orf42_m444573	106
C8orf42_m494691	1192
C8orf42_m494741	458
C8orf42_m494746	161
C8orf42_p444483	564
C8orf42_p444503	217
C8orf42_p444557	640
C8orf42_p494643	436
C8orf44_m67589991	704
C8orf44_m67589997	622
C8orf44_m67592034	165
C8orf44_m67592053	346
C8orf44_m67592070	325
C8orf44_p67590001	301
C8orf44_p67590037	240
C8orf44_p67591978	604
C8orf44_p67592022	313
C8orf44_p67592036	352
C8orf46_m67408677	210
C8orf46_m67408714	173
C8orf46_m67408722	99
C8orf46_m67417661	435
C8orf46_m67417674	109
C8orf46_m67417692	76
C8orf46_p67417602	282
C8orf46_p67417663	460
C8orf46_p67417681	497
C8orf46_p67417700	1067
C8orf47_m99076919	555
C8orf47_m99101348	682
C8orf47_m99101357	717
C8orf47_m99101362	718
C8orf47_m99105545	232
C8orf47_m99105556	315
C8orf47_p99076905	150
C8orf47_p99076922	198
C8orf47_p99105480	596
C8orf47_p99105518	978
C8orf4_m40011071	377
C8orf4_m40011079	796
C8orf4_m40011091	458
C8orf4_m40011110	735
C8orf4_m40011115	1188
C8orf4_m40011128	417
C8orf4_p40011099	565
C8orf4_p40011137	269
C8orf4_p40011178	187
C8orf4_p40011195	76
C8orf58_m22458435	524
C8orf58_m22458465	690
C8orf58_m22458490	186
C8orf58_p22457218	539
C8orf58_p22457225	107
C8orf58_p22457249	423
C8orf58_p22458398	518
C8orf58_p22458469	361
C8orf58_p22458477	444
C8orf58_p22458492	385
C8orf74_m10530194	102
C8orf74_m10530216	120
C8orf74_m10532161	307
C8orf74_m10532238	168
C8orf74_p10530201	227
C8orf74_p10532143	407
C8orf74_p10532148	513
C8orf74_p10532174	80
C8orf74_p10532204	730
C8orf74_p10532220	478
C8orf76_m124253512	357
C8orf76_m124253517	258
C8orf76_m124253525	274
C8orf76_m124253534	328
C8orf76_m124253543	467
C8orf76_m124253549	552
C8orf76_m124253571	361
C8orf76_m124253577	722
C8orf76_p124253503	13
C8orf76_p124253556	68
C8orf82_m145754194	955
C8orf82_m145754263	550
C8orf82_m145754269	188
C8orf82_m145754285	405
C8orf82_p145754158	346
C8orf82_p145754166	788
C8orf82_p145754172	201
C8orf82_p145754179	112
C8orf82_p145754254	417
C8orf82_p145754271	183
C9orf106_m132084108	135
C9orf106_m132084185	425
C9orf106_m132084198	176
C9orf106_m132084233	691
C9orf106_m132084238	780
C9orf106_m132084243	645
C9orf106_p132084082	766
C9orf106_p132084110	523
C9orf106_p132084141	579
C9orf106_p132084177	123
C9orf114_m131591064	435
C9orf114_m131591070	903
C9orf114_m131591410	764
C9orf114_m131591426	771
C9orf114_m131592025	314
C9orf114_m131592030	809
C9orf114_m131592038	344
C9orf114_m131592044	704
C9orf114_p131591415	85
C9orf114_p131592012	312
C9orf116_m138390501	30
C9orf116_m138391575	232
C9orf116_m138391589	255
C9orf116_m138391603	53
C9orf116_m138391651	766
C9orf116_m138391660	384
C9orf116_m138391690	119
C9orf116_p138391591	367
C9orf116_p138391614	176
C9orf116_p138391641	424
C9orf117_m130469385	234
C9orf117_m130469395	238
C9orf117_m130469403	604
C9orf117_m130469441	638
C9orf117_p130469324	929
C9orf117_p130469346	243
C9orf117_p130469369	771
C9orf117_p130469375	170
C9orf117_p130469387	189
C9orf117_p130469432	780
C9orf123_m7799527	269
C9orf123_m7799532	1037
C9orf123_m7799567	238
C9orf123_p7799471	630
C9orf123_p7799477	488
C9orf123_p7799586	279
C9orf123_p7799600	225
C9orf123_p7799650	190
C9orf123_p7799656	362
C9orf123_p7799680	736
C9orf129_m96080817	207
C9orf129_m96080823	263
C9orf129_m96081391	1258
C9orf129_m96081397	638
C9orf129_m96081442	303
C9orf129_p96080746	343
C9orf129_p96081400	223
C9orf129_p96081407	1089
C9orf129_p96081412	812
C9orf129_p96097750	454
C9orf135_m72435795	1129
C9orf135_m72435817	1009
C9orf135_m72435864	305
C9orf135_m72435892	894
C9orf135_m72435898	553
C9orf135_p72435800	529
C9orf135_p72435826	1077
C9orf135_p72435837	1089
C9orf135_p72435845	470
C9orf135_p72435851	379
C9orf139_m139927584	367
C9orf139_m139927592	657
C9orf139_m139927600	596
C9orf139_m139927605	381
C9orf139_m139927613	188
C9orf139_m139927642	150
C9orf139_p139927504	467
C9orf139_p139927615	214
C9orf139_p139927622	50
C9orf139_p139927627	272
C9orf142_m139886896	224
C9orf142_m139886904	594
C9orf142_m139886913	922
C9orf142_m139886950	423
C9orf142_m139886996	340
C9orf142_m139887090	21
C9orf142_m139887105	199
C9orf142_m139887123	249
C9orf142_p139887093	155
C9orf142_p139887112	1031
C9orf153_m88842771	156
C9orf153_m88842809	171
C9orf153_m88842851	205
C9orf153_m88844507	315
C9orf153_p88842919	189
C9orf153_p88844441	587
C9orf153_p88844446	475
C9orf153_p88844471	52
C9orf153_p88844476	201
C9orf153_p88844490	241
C9orf156_m100678575	161
C9orf156_m100678590	248
C9orf156_m100684701	423
C9orf156_m100684708	185
C9orf156_m100684755	338
C9orf156_m100684762	757
C9orf156_m100684770	664
C9orf156_p100678580	668
C9orf156_p100684692	886
C9orf156_p100684710	636
C9orf163_m139378901	509
C9orf163_m139378931	139
C9orf163_m139378952	891
C9orf163_m139378958	193
C9orf163_m139378973	258
C9orf163_p139378885	544
C9orf163_p139378915	708
C9orf163_p139378920	491
C9orf163_p139378975	821
C9orf163_p139378999	491
C9orf169_m140120083	1171
C9orf169_m140120105	236
C9orf169_m140120128	463
C9orf169_m140120176	667
C9orf169_m140120185	116
C9orf169_m140120228	197
C9orf169_m140120235	364
C9orf169_m140120240	252
C9orf169_p140120130	428
C9orf169_p140120244	324
C9orf16_m130925720	551
C9orf16_m130925733	206
C9orf16_m130925763	469
C9orf16_m130925773	30
C9orf16_p130922671	594
C9orf16_p130922712	548
C9orf16_p130922728	404
C9orf16_p130925725	441
C9orf16_p130925746	1134
C9orf16_p130925755	167
C9orf171_m135285671	110
C9orf171_m135285685	205
C9orf171_m135285690	212
C9orf171_m135285718	279
C9orf171_p135285645	851
C9orf171_p135285650	30
C9orf171_p135285658	390
C9orf171_p135285663	1067
C9orf171_p135285677	311
C9orf171_p135285708	375
C9orf173_m140145811	1319
C9orf173_m140145821	203
C9orf173_m140145837	214
C9orf173_m140145843	345
C9orf173_p140145737	74
C9orf173_p140145752	451
C9orf173_p140145784	1859
C9orf173_p140145792	670
C9orf173_p140145802	566
C9orf173_p140146174	241
C9orf24_m34381073	346
C9orf24_m34381091	798
C9orf24_m34381117	470
C9orf24_m34381382	92
C9orf24_m34381387	435
C9orf24_m34381405	561
C9orf24_m34381416	517
C9orf24_p34381063	424
C9orf24_p34381365	354
C9orf24_p34381371	168
C9orf37_m140510384	518
C9orf37_m140510401	467
C9orf37_p140510324	374
C9orf37_p140510387	320
C9orf37_p140510406	447
C9orf37_p140510412	74
C9orf37_p140510424	527
C9orf37_p140510430	405
C9orf37_p140510455	99
C9orf37_p140510462	485
C9orf3_m97522085	605
C9orf3_m97522090	1119
C9orf3_m97522100	406
C9orf3_m97522114	1246
C9orf3_m97522120	671
C9orf3_p97522058	230
C9orf3_p97522127	488
C9orf3_p97522133	1226
C9orf3_p97522139	548
C9orf3_p97522164	299
C9orf40_m77567482	656
C9orf40_m77567502	364
C9orf40_m77567518	243
C9orf40_p77567417	533
C9orf40_p77567423	221
C9orf40_p77567448	1262
C9orf40_p77567462	367
C9orf40_p77567469	294
C9orf40_p77567485	235
C9orf40_p77567506	670
C9orf41_m77642929	115
C9orf41_m77642959	295
C9orf41_m77642985	1033
C9orf41_m77642991	358
C9orf41_m77643015	191
C9orf41_m77643024	130
C9orf41_m77643075	809
C9orf41_m77643081	787
C9orf41_m77643148	468
C9orf41_p77642974	151
C9orf43_m116175785	437
C9orf43_m116175796	0
C9orf43_m116175810	319
C9orf43_m116175838	64
C9orf43_m116175877	33
C9orf43_m116175912	1686
C9orf43_p116175777	661
C9orf43_p116175799	529
C9orf43_p116175825	621
C9orf43_p116175849	471
C9orf50_m132382588	396
C9orf50_m132382661	530
C9orf50_m132382806	433
C9orf50_m132382829	404
C9orf50_p132382590	154
C9orf50_p132382599	1287
C9orf50_p132382718	142
C9orf50_p132382744	566
C9orf50_p132382759	511
C9orf50_p132382776	181
C9orf57_m74671024	526
C9orf57_m74671034	558
C9orf57_m74671063	154
C9orf57_m74671105	540
C9orf57_m74671714	298
C9orf57_m74674152	183
C9orf57_m74674164	228
C9orf57_m74674241	245
C9orf57_p74674138	315
C9orf57_p74674281	311
C9orf64_m86571216	263
C9orf64_m86571275	696
C9orf64_m86571296	305
C9orf64_m86571324	781
C9orf64_m86571331	596
C9orf64_m86571338	175
C9orf64_m86571393	337
C9orf64_m86571409	1281
C9orf64_p86571373	296
C9orf64_p86571381	287
C9orf66_m215304	403
C9orf66_m215314	323
C9orf66_m215341	257
C9orf66_m215360	320
C9orf66_m215383	163
C9orf66_p215306	105
C9orf66_p215324	397
C9orf66_p215332	94
C9orf66_p215352	370
C9orf66_p215363	388
C9orf69_m139008602	456
C9orf69_m139008672	801
C9orf69_m139008705	237
C9orf69_m139008721	279
C9orf69_p139008617	319
C9orf69_p139008644	404
C9orf69_p139008679	100
C9orf69_p139008685	337
C9orf69_p139008710	1
C9orf69_p139008727	1234
C9orf72_m27566951	560
C9orf72_m27566967	378
C9orf72_m27566995	336
C9orf72_m27567008	532
C9orf72_m27567059	328
C9orf72_p27566957	620
C9orf72_p27566981	364
C9orf72_p27567068	221
C9orf72_p27567074	641
C9orf72_p27567080	517
C9orf78_m132595970	625
C9orf78_m132596993	653
C9orf78_m132597002	782
C9orf78_m132597419	814
C9orf78_m132597424	832
C9orf78_m132597436	701
C9orf78_m132597488	281
C9orf78_p132595957	69
C9orf78_p132597005	116
C9orf78_p132597479	559
C9orf89_m95869964	686
C9orf89_m95869974	322
C9orf89_m95869998	128
C9orf89_m95870007	180
C9orf89_p95858612	792
C9orf89_p95869956	43
C9orf89_p95869981	34
C9orf89_p95869987	294
C9orf89_p95870010	468
C9orf89_p95870015	295
C9orf91_m117379482	141
C9orf91_m117379534	634
C9orf91_m117379549	91
C9orf91_m117386636	611
C9orf91_p117379471	397
C9orf91_p117379536	361
C9orf91_p117379551	148
C9orf91_p117386619	76
C9orf91_p117386624	94
C9orf91_p117386641	185
C9orf96_m136243356	216
