gRNA	KBM7.initial
ACRC_p70811990	341
ACRC_p70814182	463
ACRC_p70814187	618
ACRC_p70814200	726
ACSL6_m131326625	107
ACSL6_m131326630	341
ACSL6_m131326651	390
ACSL6_m131329874	602
ACSL6_m131329908	488
ACSL6_p131329816	605
ACSL6_p131329824	551
ACSL6_p131329830	414
ACSL6_p131329859	127
ACSL6_p131329878	808
ACSS2_m33470722	202
ACSS2_m33500924	333
ACSS2_m33500940	531
ACSS2_m33500955	498
ACSS2_m33501214	421
ACSS2_m33501222	438
ACSS2_p33470688	350
ACSS2_p33500893	252
ACSS2_p33500928	454
ACSS2_p33501184	299
ACTL6A_m179287950	218
ACTL6A_m179287986	202
ACTL6A_p179287878	283
ACTL6A_p179287892	377
ACTL6A_p179287902	498
ACTL6A_p179287911	670
ACTL6A_p179287920	657
ACTL6A_p179287966	410
ACTL6A_p179287976	555
ACTL6A_p179291144	253
ACTL6B_m100253076	628
ACTL6B_m100253081	389
ACTL6B_m100253086	521
ACTL6B_m100253168	529
ACTL6B_m100253443	723
ACTL6B_m100253971	258
ACTL6B_p100253037	460
ACTL6B_p100253066	576
ACTL6B_p100253094	793
ACTL6B_p100253446	466
ACTL7A_m111624641	876
ACTL7A_m111624669	215
ACTL7A_m111624684	196
ACTL7A_m111624726	171
ACTL7A_m111624736	467
ACTL7A_p111624607	403
ACTL7A_p111624631	404
ACTL7A_p111624686	67
ACTL7A_p111624691	280
ACTL7A_p111624699	437
ACTN1_m69392359	199
ACTN1_m69392382	515
ACTN1_m69445694	355
ACTN1_m69445700	322
ACTN1_m69445718	356
ACTN1_m69445724	742
ACTN1_p69392370	919
ACTN1_p69445679	74
ACTN1_p69445708	142
ACTN1_p69445745	419
ACTN4_m39138399	400
ACTN4_m39138430	149
ACTN4_m39138527	90
ACTN4_p39138381	358
ACTN4_p39138403	837
ACTN4_p39138433	473
ACTN4_p39138459	1136
ACTN4_p39138465	610
ACTN4_p39138476	268
ACTN4_p39138482	566
ACTR1A_m104248862	1214
ACTR1A_m104250350	126
ACTR1A_m104250365	91
ACTR1A_p104248833	420
ACTR1A_p104248866	375
ACTR1A_p104250290	416
ACTR1A_p104250304	586
ACTR1A_p104262351	619
ACTR1A_p104262374	407
ACTR1A_p104262383	471
ACTR3_m114684932	767
ACTR3_m114688941	589
ACTR3_p114674498	664
ACTR3_p114684915	464
ACTR3_p114684941	616
ACTR3_p114684946	309
ACTR3_p114684953	358
ACTR3_p114688931	433
ACTR3_p114691883	437
ACTR3_p114691894	1267
ACTR5_m37377141	527
ACTR5_m37377155	208
ACTR5_m37377161	309
ACTR5_m37377171	250
ACTR5_m37377189	436
ACTR5_p37377163	463
ACTR5_p37377178	374
ACTR5_p37377198	270
ACTR5_p37377204	172
ACTR5_p37377211	416
ACTR8_m53916047	1323
ACTR8_m53916057	566
ACTR8_m53916067	651
ACTR8_m53916073	741
ACTR8_m53916081	1157
ACTR8_m53916091	440
ACTR8_m53916096	567
ACTR8_m53916103	814
ACTR8_m53916111	609
ACTR8_m53916121	230
ACTRT3_m169487192	97
ACTRT3_m169487204	156
ACTRT3_m169487242	907
ACTRT3_m169487247	470
ACTRT3_m169487252	481
ACTRT3_m169487267	381
ACTRT3_m169487273	406
ACTRT3_m169487289	300
ACTRT3_p169487206	229
ACTRT3_p169487280	564
ACVR1B_m52369170	468
ACVR1B_m52369187	652
ACVR1B_m52369192	268
ACVR1B_m52369211	754
ACVR1B_m52369226	205
ACVR1B_m52369237	865
ACVR1B_p52369196	160
ACVR1B_p52369243	422
ACVR1B_p52369255	94
ACVR1B_p52369266	679
ACVR1C_m158401016	258
ACVR1C_m158401030	808
ACVR1C_m158401075	176
ACVR1C_m158401097	444
ACVR1C_m158401113	185
ACVR1C_m158443700	359
ACVR1C_m158443841	290
ACVR1C_p158443781	259
ACVR1C_p158443786	517
ACVR1C_p158443795	588
ACVR1_m158637033	426
ACVR1_m158637046	382
ACVR1_m158637054	488
ACVR1_m158637066	371
ACVR1_m158655997	1304
ACVR1_p158637019	605
ACVR1_p158637035	776
ACVR1_p158637068	810
ACVR1_p158655928	173
ACVR1_p158655958	203
ACVR2A_m148602752	561
ACVR2A_m148602767	799
ACVR2A_m148653941	368
ACVR2A_m148653961	243
ACVR2A_p148602720	403
ACVR2A_p148602754	142
ACVR2A_p148653859	350
ACVR2A_p148653946	263
ACVR2A_p148653965	95
ACVR2A_p148653997	1020
ACVR2B_m38495825	1332
ACVR2B_m38518828	617
ACVR2B_m38518849	415
ACVR2B_p38495805	437
ACVR2B_p38495827	618
ACVR2B_p38518810	728
ACVR2B_p38518817	991
ACVR2B_p38518836	438
ACVR2B_p38518841	279
ACVR2B_p38518854	918
ACVRL1_m52306276	496
ACVRL1_m52306307	550
ACVRL1_m52306881	621
ACVRL1_m52306910	640
ACVRL1_m52306921	296
ACVRL1_p52306245	548
ACVRL1_p52306281	505
ACVRL1_p52306287	859
ACVRL1_p52306296	633
ACVRL1_p52306883	636
ADAD1_m123301295	500
ADAD1_m123301308	425
ADAD1_m123301332	630
ADAD1_m123301345	264
ADAD1_m123301366	314
ADAD1_p123301314	793
ADAD1_p123301335	230
ADAD1_p123301349	161
ADAD1_p123301358	1074
ADAD1_p123301373	471
ADAM10_m58974490	394
ADAM10_m59009777	575
ADAM10_m59009866	353
ADAM10_m59009883	1060
ADAM10_m59041689	56
ADAM10_m59041696	258
ADAM10_p58974401	487
ADAM10_p58974481	649
ADAM10_p59009761	134
ADAM10_p59009767	423
ADAM12_m128018982	199
ADAM12_m128019019	735
ADAM12_m128019025	485
ADAM12_m128076635	399
ADAM12_m128076658	432
ADAM12_p128018991	39
ADAM12_p128019039	459
ADAM12_p128076618	131
ADAM12_p128076641	751
ADAM12_p128076650	365
ADAMTS5_m28338537	722
ADAMTS5_m28338697	422
ADAMTS5_m28338702	280
ADAMTS5_p28338524	586
ADAMTS5_p28338585	529
ADAMTS5_p28338596	322
ADAMTS5_p28338607	530
ADAMTS5_p28338612	166
ADAMTS5_p28338620	118
ADAMTS5_p28338667	520
ADAP1_m975089	356
ADAP1_m975116	189
ADAP1_m975132	530
ADAP1_m994042	208
ADAP1_m994066	38
ADAP1_m994071	405
ADAP1_m994091	686
ADAP1_m994101	449
ADAP1_m994106	372
ADAP1_p975103	400
ADARB1_m46591572	105
ADARB1_m46595675	265
ADARB1_m46595697	319
ADARB1_m46595715	213
ADARB1_m46595721	414
ADARB1_m46595779	98
ADARB1_p46595645	566
ADARB1_p46595700	515
ADARB1_p46595705	1069
ADARB1_p46595724	73
ADARB2_m1779246	893
ADARB2_m1779251	337
ADARB2_m1779266	1173
ADARB2_m1779272	289
ADARB2_m1779308	671
ADARB2_m1779330	67
ADARB2_m1779337	395
ADARB2_p1421307	169
ADARB2_p1421336	306
ADARB2_p1779233	129
ADAR_m154574098	579
ADAR_m154574103	75
ADAR_m154574108	615
ADAR_m154574165	292
ADAR_m154574219	715
ADAR_p154574043	589
ADAR_p154574114	110
ADAR_p154574121	5
ADAR_p154574126	227
ADAR_p154574157	294
ADCK1_m78285328	568
ADCK1_m78285358	1107
ADCK1_m78285376	664
ADCK1_m78285413	763
ADCK1_p78285311	395
ADCK1_p78285331	433
ADCK1_p78285341	511
ADCK1_p78285386	387
ADCK1_p78285402	424
ADCK1_p78285416	449
ADCK2_m140373155	55
ADCK2_m140373168	309
ADCK2_m140373177	453
ADCK2_m140373210	354
ADCK2_m140373220	328
ADCK2_m140373231	647
ADCK2_p140373122	525
ADCK2_p140373137	30
ADCK2_p140373158	537
ADCK2_p140373194	572
ADCK3_m227149096	234
ADCK3_m227149144	95
ADCK3_m227149153	1373
ADCK3_m227149163	599
ADCK3_p227149079	613
ADCK3_p227149104	940
ADCK3_p227149124	569
ADCK3_p227149133	365
ADCK3_p227149155	1255
ADCK3_p227149165	472
ADCK4_m41220243	487
ADCK4_m41220249	1123
ADCK4_m41220284	732
ADCK4_m41220291	106
ADCK4_m41220465	476
ADCK4_m41220474	986
ADCK4_m41220523	437
ADCK4_p41220276	301
ADCK4_p41220422	188
ADCK4_p41220480	1377
ADCK5_m145603095	573
ADCK5_m145603137	610
ADCK5_m145603170	452
ADCK5_m145608301	396
ADCK5_m145608343	445
ADCK5_p145597774	305
ADCK5_p145603106	755
ADCK5_p145603142	833
ADCK5_p145608305	349
ADCK5_p145608311	418
ADCY1_m45614206	176
ADCY1_m45614243	682
ADCY1_m45614270	346
ADCY1_m45614323	514
ADCY1_p45614127	1279
