sgRNA	Count
AAK1_104_0	0
AAK1_105_0	197
AAK1_106_0	271
AAK1_107_0	1
AAK1_108_0	0
AAK1_109_0	89
AAK1_111_182532	0
AAK1_111_60844	11
AAK1_112_60844	55
AAK1_113_60844	16
AAK1_114_91266	23
AAK1_115_30422	125
AAK1_121_91266	32
AAK1_123_30422	36
AAK1_126_91266	1
AAK1_128_60844	24
AATK_0_0	111
AATK_0_20904	168
AATK_0_41808	88
AATK_100_0	256
AATK_101_0	285
AATK_102_0	87
AATK_103_0	37
AATK_104_0	119
AATK_105_0	84
AATK_106_0	211
AATK_107_0	15
AATK_107_34840	7
AATK_108_0	417
AATK_109_0	116
AATK_110_0	86
AATK_111_0	27
ABI1_0_65424	55
ABI1_100_0	270
ABI1_101_0	455
ABI1_104_49068	151
ABI1_105_16356	81
ABI1_120_98136	101
ABI1_126_16356	12
ABI1_129_0	12
ABI1_12_0	50
ABI1_132_0	131
ABI1_132_16356	90
ABI1_132_65424	28
ABI1_133_0	14
ABI1_134_0	49
ABI1_134_49068	92
ABL1_0_148908	146
ABL1_108_148908	126
ABL1_109_148908	62
ABL1_112_74454	27
ABL1_114_49636	81
ABL1_117_148908	24
ABL1_118_148908	0
ABL1_119_148908	95
ABL1_120_148908	62
ABL1_121_124090	190
ABL1_121_148908	23
ABL1_137_99272	61
ABL1_138_124090	85
ABL1_145_0	31
ABL1_150_0	2
ABL2_0_0	147
ABL2_100_111732	175
ABL2_101_111732	185
ABL2_107_0	0
ABL2_107_37244	8
ABL2_107_93110	104
ABL2_108_0	0
ABL2_108_37244	30
ABL2_109_0	26
ABL2_111_37244	45
ABL2_120_0	42
ABL2_123_0	5
ABL2_123_18622	125
ABL2_124_18622	160
ABL2_126_18622	167
ABL2_127_18622	38
ACAD10_0_0	17
ACAD10_0_20300	3
ACAD10_100_0	24
ACAD10_100_20300	0
ACAD10_100_40600	41
ACAD10_101_0	2
ACAD10_101_40600	111
ACAD10_102_0	14
ACAD10_102_40600	14
ACAD10_103_0	3
ACAD10_103_40600	17
ACAD10_104_20300	505
ACAD10_105_0	34
ACAD10_106_0	16
ACAD10_106_20300	150
ACAD10_107_0	17
ACVR1B_0_32435	22
ACVR1B_0_6487	113
ACVR1B_100_0	305
ACVR1B_101_0	56
ACVR1B_101_25948	19
ACVR1B_106_0	13
ACVR1B_107_38922	1
ACVR1B_109_12974	105
ACVR1B_109_38922	0
ACVR1B_10_38922	16
ACVR1B_110_32435	82
ACVR1B_110_38922	158
ACVR1B_111_32435	0
ACVR1B_111_38922	180
ACVR1B_112_32435	39
ACVR1C_0_13804	114
ACVR1C_0_41412	0
ACVR1C_102_13804	83
ACVR1C_103_13804	7
ACVR1C_104_0	5
ACVR1C_104_13804	160
ACVR1C_105_0	90
ACVR1C_106_82824	72
ACVR1C_114_41412	205
ACVR1C_115_0	12
ACVR1C_115_41412	13
ACVR1C_116_41412	213
ACVR1C_122_0	128
ACVR1C_123_0	41
ACVR1C_124_0	91
ACVR1C_125_0	14
ACVR1_100_19918	59
ACVR1_100_59754	62
ACVR1_101_19918	353
ACVR1_102_0	45
ACVR1_102_19918	48
ACVR1_103_0	80
ACVR1_104_0	4
ACVR1_104_99590	54
ACVR1_105_59754	15
ACVR1_106_39836	45
ACVR1_107_39836	58
ACVR1_108_39836	170
ACVR1_108_99590	80
ACVR1_109_39836	116
ACVR1_10_99590	69
ACVR1_110_39836	268
ACVR2A_0_73974	77
ACVR2A_100_73974	20
ACVR2A_101_73974	0
ACVR2A_102_73974	33
ACVR2A_104_61645	99
ACVR2A_105_0	0
ACVR2A_108_24658	45
ACVR2A_10_73974	0
ACVR2A_111_24658	52
ACVR2A_119_36987	50
ACVR2A_11_24658	47
ACVR2A_122_0	32
ACVR2A_123_61645	76
ACVR2A_124_0	159
ACVR2A_128_0	18
ACVR2A_128_12329	41
ACVR2B_103_16916	79
ACVR2B_105_21145	8
ACVR2B_105_25374	66
ACVR2B_106_21145	23
ACVR2B_107_21145	125
ACVR2B_108_21145	18
ACVR2B_108_25374	0
ACVR2B_110_21145	46
ACVR2B_112_25374	93
ACVR2B_113_25374	176
ACVR2B_115_25374	40
ACVR2B_116_25374	47
ACVR2B_118_25374	62
ACVR2B_119_25374	266
ACVR2B_11_21145	55
ACVR2B_120_21145	315
ACVRL1_100_14100	44
ACVRL1_101_14100	35
ACVRL1_101_4700	87
ACVRL1_102_14100	49
ACVRL1_102_4700	206
ACVRL1_103_0	43
ACVRL1_103_14100	159
ACVRL1_103_4700	348
ACVRL1_103_7050	130
ACVRL1_104_0	78
ACVRL1_104_14100	474
ACVRL1_104_4700	0
ACVRL1_104_7050	34
ACVRL1_105_0	208
ACVRL1_105_14100	121
ACVRL1_105_4700	244
ADAM9_0_0	91
ADAM9_106_92802	43
ADAM9_107_61868	53
ADAM9_107_92802	25
ADAM9_108_46401	0
ADAM9_108_92802	110
ADAM9_109_15467	0
ADAM9_109_46401	114
ADAM9_10_15467	39
ADAM9_110_15467	0
ADAM9_111_15467	134
ADAM9_111_46401	20
ADAM9_114_61868	0
ADAM9_114_77335	21
ADAM9_118_92802	72
ADAM9_119_92802	36
ADCK1_0_115674	37
ADCK1_104_115674	28
ADCK1_118_115674	102
ADCK1_119_115674	210
ADCK1_121_57837	145
ADCK1_122_0	9
ADCK1_123_0	82
ADCK1_124_0	33
ADCK1_125_0	154
ADCK1_139_115674	98
ADCK1_141_115674	82
ADCK1_142_115674	78
ADCK1_143_115674	176
ADCK1_144_115674	174
ADCK2_0_0	240
ADCK2_100_9903	208
