sgRNA	Count
ADK_1003_0	1
ADK_1033_0	267
ADK_1048_398650	40
ADK_1048_478380	22
ADK_1050_478380	1212
ADK_1107_79730	86
ADK_113_478380	33
ADK_1312_478380	36
ADK_1313_478380	40
ADK_1314_478380	8
ADK_135_79730	0
ADK_13_0	113
ADK_1407_0	1
ADK_1417_0	0
ADRA1A_0_0	94
ADRA1A_105_51051	138
ADRA1A_108_17017	166
ADRA1A_109_0	18
ADRA1A_110_0	0
ADRA1A_114_102102	1
ADRA1A_115_102102	38
ADRA1A_116_102102	97
ADRA1A_116_17017	51
ADRA1A_117_102102	36
ADRA1A_117_17017	8
ADRA1A_118_17017	15
ADRA1A_119_17017	19
ADRA1A_120_17017	2
ADRA1A_121_17017	0
ADRA1A_122_17017	71
ADRA1B_100_39825	18
ADRA1B_102_0	260
ADRA1B_107_15930	41
ADRA1B_110_0	65
ADRA1B_112_0	5
ADRA1B_113_0	177
ADRA1B_114_0	207
ADRA1B_115_39825	227
ADRA1B_116_23895	25
ADRA1B_118_47790	102
ADRA1B_119_47790	64
ADRA1B_123_15930	411
ADRA1B_126_39825	0
ADRA1B_127_39825	10
ADRB2_0_0	43
ADRB2_0_1020	0
ADRB2_0_1700	35
ADRB2_0_340	8
ADRB2_0_680	94
ADRB2_10_0	396
ADRB2_10_680	56
ADRB2_11_0	13
ADRB2_11_680	15
ADRB2_12_0	912
ADRB2_12_680	55
ADRB2_13_680	9
ADRB2_15_680	74
ADRB2_16_680	73
ADRBK1_0_14390	276
ADRBK1_0_8634	210
ADRBK1_100_14390	91
ADRBK1_100_17268	347
ADRBK1_101_14390	14
ADRBK1_101_17268	118
ADRBK1_101_2878	185
ADRBK1_102_14390	47
ADRBK1_102_17268	112
ADRBK1_103_14390	14
ADRBK1_103_17268	31
ADRBK1_104_14390	0
ADRBK1_104_17268	35
ADRBK1_105_14390	256
ADRBK1_105_17268	0
ADRBK1_106_14390	28
ADRBK2_101_140952	8
ADRBK2_102_140952	370
ADRBK2_103_140952	49
ADRBK2_106_70476	59
ADRBK2_113_140952	45
ADRBK2_114_117460	75
ADRBK2_114_140952	31
ADRBK2_116_46984	1
ADRBK2_120_0	38
ADRBK2_120_46984	0
ADRBK2_123_93968	0
ADRBK2_12_117460	1
ADRBK2_130_140952	0
ADRBK2_133_140952	46
ADRBK2_138_140952	241
ADRBK2_13_93968	0
AK1_0_0	149
AK1_10_0	80
AK1_12_0	14
AK1_14_0	41
AK1_15_0	3
AK1_17_0	9
AK1_1_0	8
AK1_20_0	37
AK1_21_0	141
AK1_2_0	166
AK1_37_0	0
AK1_38_0	21
AK1_39_0	39
AK1_3_0	14
AK1_40_0	17
AK1_41_0	29
AK2_100_31293	524
AK2_101_31293	0
AK2_102_31293	259
AK2_106_62586	3
AK2_10_62586	29
AK2_111_20862	226
AK2_116_41724	7
AK2_117_62586	271
AK2_11_52155	155
AK2_11_62586	104
AK2_131_41724	212
AK2_136_52155	0
AK2_139_62586	42
AK2_147_62586	5
AK2_148_62586	13
AK2_156_20862	5
AK3_0_22060	28
AK3_102_4412	510
AK3_104_4412	0
AK3_10_0	12
AK3_10_4412	47
AK3_11_4412	0
AK3_12_0	37
AK3_136_26472	9
AK3_13_0	507
AK3_14_0	27
AK3_17_8824	0
AK3_19_26472	0
AK3_19_4412	4
AK3_1_26472	0
AK3_22_26472	61
AK3_24_0	14
AK4_0_0	41
AK4_0_72510	29
AK4_100_12085	78
AK4_102_72510	0
AK4_103_72510	275
AK4_104_72510	39
AK4_105_72510	1026
AK4_106_72510	20
AK4_107_72510	47
AK4_108_12085	86
AK4_108_36255	0
AK4_108_72510	235
AK4_109_72510	42
AK4_10_72510	0
AK4_110_0	51
AK4_110_72510	124
AK5_0_0	75
AK5_111_238224	51
AK5_112_238224	25
AK5_113_238224	430
AK5_11_119112	7
AK5_122_238224	12
AK5_123_238224	1438
AK5_126_238224	3
AK5_14_0	0
AK5_168_238224	0
AK5_175_0	47
AK5_175_238224	8
AK5_176_0	6
AK7_104_41706	77
AK7_105_41706	32
AK7_106_41706	29
AK7_107_55608	93
AK7_119_0	13
AK7_120_0	11
AK7_121_0	98
AK7_121_83412	0
AK7_122_0	109
AK7_122_13902	0
AK7_123_0	137
AK7_123_13902	24
AK7_123_83412	0
AK7_124_83412	106
AK7_125_83412	26
AK8_0_131316	37
AK8_10_87544	117
AK8_113_65658	77
AK8_115_131316	320
AK8_116_0	0
AK8_127_0	0
AK8_157_65658	184
AK8_167_109430	39
AK8_168_109430	2
AK8_173_109430	12
AK8_174_65658	27
AK8_177_131316	1102
AK8_178_131316	157
AK8_179_131316	23
AK8_191_65658	77
AK8_192_0	64
AKAP11_0_29204	36
AKAP11_0_7301	0
AKAP11_104_0	48
AKAP11_104_29204	3
AKAP11_108_29204	38
AKAP11_114_0	185
AKAP11_115_0	13
AKAP11_11_29204	23
AKAP11_13_0	15
AKAP11_15_43806	62
AKAP11_17_14602	4
AKAP11_17_36505	5
AKAP11_18_36505	8
AKAP11_18_43806	41
AKAP11_19_36505	13
AKAP11_19_43806	3
AKAP13_1051_316104	140
AKAP13_113_316104	19
AKAP13_130_316104	0
AKAP13_131_210736	94
AKAP13_133_316104	54
AKAP13_144_316104	8
AKAP13_145_316104	7
AKAP13_146_316104	28
AKAP13_147_316104	19
AKAP13_148_316104	0
AKAP13_14_210736	7
AKAP13_165_316104	0
AKAP13_167_316104	61
AKAP13_168_316104	0
AKAP13_174_316104	30
AKAP1_0_15537	128
AKAP1_0_20716	75
AKAP1_100_0	1
AKAP1_101_0	7
AKAP1_101_20716	62
AKAP1_102_0	0
AKAP1_102_20716	172
AKAP1_103_0	126
AKAP1_103_20716	6
AKAP1_103_31074	0
AKAP1_104_0	0
AKAP1_104_20716	97
AKAP1_104_31074	24
AKAP1_105_0	9
AKAP1_105_20716	11
AKAP1_106_0	270
AKAP6_1005_143456	160
AKAP6_1006_143456	0
AKAP6_1007_143456	143
AKAP6_1011_143456	43
AKAP6_101_215184	150
AKAP6_103_215184	0
AKAP6_105_215184	13
AKAP6_108_215184	60
AKAP6_1140_215184	97
AKAP6_1153_215184	1
AKAP6_1155_0	3
AKAP6_130_143456	111
AKAP6_136_143456	3
AKAP6_137_143456	174
AKAP6_142_215184	250
AKAP6_143_143456	0
AKAP7_100_105625	23
AKAP7_104_126750	0
AKAP7_104_21125	6
AKAP7_105_126750	69
AKAP7_106_126750	145
AKAP7_107_126750	169
AKAP7_108_126750	453
AKAP7_10_21125	0
AKAP7_110_126750	60
AKAP7_111_126750	181
AKAP7_112_126750	0
AKAP7_113_126750	55
AKAP7_114_126750	72
AKAP7_116_126750	11
AKAP7_117_105625	157
AKAP7_117_126750	1400
AKAP8_0_0	89
AKAP8_0_22638	57
AKAP8_101_18865	59
AKAP8_102_15092	161
AKAP8_102_18865	52
AKAP8_107_18865	77
AKAP8_10_0	321
AKAP8_117_15092	36
AKAP8_119_15092	14
AKAP8_11_0	9
AKAP8_124_22638	152
AKAP8_127_18865	132
AKAP8_128_18865	183
AKAP8_129_18865	3
AKAP8_129_22638	116
AKAP8_12_15092	0
AKT1_0_15084	109
AKT1_0_3771	371
AKT1_100_22626	11
AKT1_100_3771	56
AKT1_101_3771	235
AKT1_102_22626	27
AKT1_102_3771	11
AKT1_103_0	44
AKT1_103_22626	1
AKT1_103_3771	143
AKT1_104_0	10
AKT1_104_22626	55
AKT1_105_0	78
AKT1_105_18855	1858
AKT1_106_0	57
AKT1_107_0	0
AKT2_0_0	138
AKT2_103_0	199
AKT2_104_0	284
AKT2_104_23664	279
AKT2_105_0	300
AKT2_106_0	198
AKT2_107_0	27
AKT2_107_15776	205
AKT2_108_0	20
AKT2_10_0	11
AKT2_10_7888	13
AKT2_110_23664	74
AKT2_111_0	1409
AKT2_113_31552	38
AKT2_115_31552	305
AKT2_117_31552	61
AKT3_107_0	88
AKT3_113_259180	92
AKT3_122_51836	164
AKT3_126_51836	150
AKT3_129_155508	0
AKT3_134_259180	9
AKT3_150_103672	19
AKT3_172_155508	97
AKT3_195_0	3
AKT3_199_155508	12
AKT3_200_155508	128
AKT3_202_155508	3
AKT3_202_259180	0
AKT3_205_259180	1
AKT3_216_155508	193
AKT3_21_207344	99
ALDH18A1_0_36260	183
ALDH18A1_0_7252	0
ALDH18A1_101_14504	13
ALDH18A1_103_0	53
ALDH18A1_105_0	1388
ALDH18A1_105_7252	1
ALDH18A1_106_36260	105
ALDH18A1_107_0	37
ALDH18A1_108_14504	88
ALDH18A1_108_7252	8
ALDH18A1_109_14504	1
ALDH18A1_109_7252	0
ALDH18A1_10_29008	123
ALDH18A1_110_7252	37
ALDH18A1_111_7252	62
ALK_0_104125	49
ALK_1002_0	114
ALK_1003_0	23
ALK_1004_0	23
ALK_1005_0	106
ALK_1101_624750	115
ALK_1105_624750	0
ALK_1106_624750	0
ALK_1107_624750	242
ALK_1113_624750	397
ALK_1114_624750	53
ALK_1116_624750	38
ALK_1117_624750	117
ALK_1119_624750	7
ALK_1120_624750	2000
ALK_1124_624750	17
ALPK1_0_134670	2231
ALPK1_100_134670	0
ALPK1_101_112225	141
ALPK1_101_134670	52
ALPK1_102_134670	29
ALPK1_102_44890	97
ALPK1_105_112225	30
ALPK1_10_134670	21
ALPK1_110_134670	55
ALPK1_111_134670	21
ALPK1_114_0	78
ALPK1_116_112225	293
ALPK1_11_134670	28
ALPK1_12_134670	11
ALPK1_12_44890	41
ALPK2_110_84408	899
ALPK2_118_105510	0
ALPK2_118_126612	0
ALPK2_119_126612	0
ALPK2_11_42204	62
ALPK2_120_126612	244
ALPK2_121_126612	25
ALPK2_122_126612	5
ALPK2_123_126612	61
ALPK2_124_126612	0
ALPK2_125_126612	112
ALPK2_126_105510	302
ALPK2_133_105510	835
ALPK2_135_42204	10
ALPK2_13_21102	44
ALPK2_144_126612	50
ALPK3_100_40570	144
ALPK3_100_48684	1
ALPK3_101_40570	10
ALPK3_101_48684	26
ALPK3_102_40570	0
ALPK3_102_48684	17
ALPK3_103_32456	3
ALPK3_103_40570	9
ALPK3_103_48684	22
ALPK3_107_40570	8
ALPK3_108_40570	0
ALPK3_109_40570	6
ALPK3_110_40570	111
AMHR2_0_0	0
AMHR2_0_1097	216
AMHR2_0_2194	19
AMHR2_0_5485	0
AMHR2_0_6582	18
AMHR2_10_0	25
AMHR2_10_1097	589
AMHR2_10_3291	98
AMHR2_10_4388	105
AMHR2_11_1097	31
AMHR2_11_3291	31
AMHR2_11_4388	444
AMHR2_11_5485	1675
ANGPT4_0_0	193
ANGPT4_0_12480	1
ANGPT4_100_18720	61
ANGPT4_101_0	14
ANGPT4_102_0	25
ANGPT4_102_12480	59
ANGPT4_103_12480	37
ANGPT4_103_6240	36
ANGPT4_109_31200	580
ANGPT4_110_0	86
ANGPT4_111_0	57
ANGPT4_112_0	41
ANGPT4_112_6240	477
ANGPT4_113_0	4
ANGPT4_113_6240	405
ANGPT4_114_0	299
ANKK1_0_0	386
