sgRNA	Count
AAK1_104_0	0
AAK1_105_0	395
AAK1_106_0	274
AAK1_107_0	18
AAK1_108_0	0
AAK1_109_0	250
AAK1_111_182532	0
AAK1_111_60844	183
AAK1_112_60844	10
AAK1_113_60844	31
AAK1_114_91266	16
AAK1_115_30422	42
AAK1_121_91266	71
AAK1_123_30422	54
AAK1_126_91266	0
AAK1_128_60844	40
AATK_0_0	130
AATK_0_20904	77
AATK_0_41808	8
AATK_100_0	500
AATK_101_0	306
AATK_102_0	85
AATK_103_0	0
AATK_104_0	110
AATK_105_0	147
AATK_106_0	136
AATK_107_0	14
AATK_107_34840	15
AATK_108_0	157
AATK_109_0	314
AATK_110_0	23
AATK_111_0	50
ABI1_0_65424	78
ABI1_100_0	138
ABI1_101_0	329
ABI1_104_49068	145
ABI1_105_16356	51
ABI1_120_98136	201
ABI1_126_16356	57
ABI1_129_0	4
ABI1_12_0	93
ABI1_132_0	459
ABI1_132_16356	59
ABI1_132_65424	62
ABI1_133_0	11
ABI1_134_0	39
ABI1_134_49068	29
ABL1_0_148908	265
ABL1_108_148908	176
ABL1_109_148908	67
ABL1_112_74454	0
ABL1_114_49636	44
ABL1_117_148908	12
ABL1_118_148908	0
ABL1_119_148908	72
ABL1_120_148908	35
ABL1_121_124090	79
ABL1_121_148908	2
ABL1_137_99272	8
ABL1_138_124090	9
ABL1_145_0	11
ABL1_150_0	0
ABL2_0_0	114
ABL2_100_111732	317
ABL2_101_111732	62
ABL2_107_0	0
ABL2_107_37244	2
ABL2_107_93110	71
ABL2_108_0	0
ABL2_108_37244	491
ABL2_109_0	2
ABL2_111_37244	39
ABL2_120_0	68
ABL2_123_0	56
ABL2_123_18622	7
ABL2_124_18622	273
ABL2_126_18622	205
ABL2_127_18622	85
ACAD10_0_0	0
ACAD10_0_20300	14
ACAD10_100_0	82
ACAD10_100_20300	0
ACAD10_100_40600	81
ACAD10_101_0	7
ACAD10_101_40600	217
ACAD10_102_0	19
ACAD10_102_40600	20
ACAD10_103_0	2
ACAD10_103_40600	28
ACAD10_104_20300	156
ACAD10_105_0	47
ACAD10_106_0	39
ACAD10_106_20300	130
ACAD10_107_0	47
ACVR1B_0_32435	1
ACVR1B_0_6487	187
ACVR1B_100_0	119
ACVR1B_101_0	0
ACVR1B_101_25948	16
ACVR1B_106_0	0
ACVR1B_107_38922	4
ACVR1B_109_12974	66
ACVR1B_109_38922	0
ACVR1B_10_38922	88
ACVR1B_110_32435	60
ACVR1B_110_38922	166
ACVR1B_111_32435	0
ACVR1B_111_38922	140
ACVR1B_112_32435	46
ACVR1C_0_13804	33
ACVR1C_0_41412	0
ACVR1C_102_13804	223
ACVR1C_103_13804	13
ACVR1C_104_0	19
ACVR1C_104_13804	44
ACVR1C_105_0	53
ACVR1C_106_82824	129
ACVR1C_114_41412	134
ACVR1C_115_0	3
ACVR1C_115_41412	0
ACVR1C_116_41412	184
ACVR1C_122_0	156
ACVR1C_123_0	103
ACVR1C_124_0	94
ACVR1C_125_0	0
ACVR1_100_19918	44
ACVR1_100_59754	70
ACVR1_101_19918	362
ACVR1_102_0	54
ACVR1_102_19918	33
ACVR1_103_0	44
ACVR1_104_0	0
ACVR1_104_99590	139
ACVR1_105_59754	2
ACVR1_106_39836	56
ACVR1_107_39836	103
ACVR1_108_39836	62
ACVR1_108_99590	30
ACVR1_109_39836	60
ACVR1_10_99590	175
ACVR1_110_39836	453
ACVR2A_0_73974	56
ACVR2A_100_73974	198
ACVR2A_101_73974	0
ACVR2A_102_73974	6
ACVR2A_104_61645	1
ACVR2A_105_0	0
ACVR2A_108_24658	74
ACVR2A_10_73974	0
ACVR2A_111_24658	49
ACVR2A_119_36987	73
ACVR2A_11_24658	115
ACVR2A_122_0	53
ACVR2A_123_61645	49
ACVR2A_124_0	303
ACVR2A_128_0	19
ACVR2A_128_12329	12
ACVR2B_103_16916	50
ACVR2B_105_21145	0
ACVR2B_105_25374	29
ACVR2B_106_21145	3
ACVR2B_107_21145	161
ACVR2B_108_21145	8
ACVR2B_108_25374	0
ACVR2B_110_21145	398
ACVR2B_112_25374	210
ACVR2B_113_25374	248
ACVR2B_115_25374	69
ACVR2B_116_25374	3
ACVR2B_118_25374	78
ACVR2B_119_25374	306
ACVR2B_11_21145	161
ACVR2B_120_21145	294
ACVRL1_100_14100	2
ACVRL1_101_14100	24
ACVRL1_101_4700	72
ACVRL1_102_14100	221
ACVRL1_102_4700	1
ACVRL1_103_0	54
ACVRL1_103_14100	133
ACVRL1_103_4700	280
ACVRL1_103_7050	658
ACVRL1_104_0	4
ACVRL1_104_14100	175
ACVRL1_104_4700	0
ACVRL1_104_7050	6
ACVRL1_105_0	172
ACVRL1_105_14100	137
ACVRL1_105_4700	294
ADAM9_0_0	196
ADAM9_106_92802	112
ADAM9_107_61868	42
ADAM9_107_92802	63
ADAM9_108_46401	0
ADAM9_108_92802	192
ADAM9_109_15467	0
ADAM9_109_46401	102
ADAM9_10_15467	5
ADAM9_110_15467	0
ADAM9_111_15467	97
ADAM9_111_46401	7
ADAM9_114_61868	0
ADAM9_114_77335	10
ADAM9_118_92802	172
ADAM9_119_92802	34
ADCK1_0_115674	23
ADCK1_104_115674	121
ADCK1_118_115674	89
ADCK1_119_115674	165
ADCK1_121_57837	463
ADCK1_122_0	0
ADCK1_123_0	46
ADCK1_124_0	65
ADCK1_125_0	461
ADCK1_139_115674	48
ADCK1_141_115674	85
ADCK1_142_115674	111
ADCK1_143_115674	269
