"DesignID"	"Readcount"
"ABHD10_1"	39
"ABHD10_2"	71
"ABHD10_3"	281
"ABHD10_4"	114
"ABHD11_0"	466
"ABHD11_1"	159
"ABHD11_2"	224
"ABHD11_3"	69
"ABHD11_4"	202
"ABHD12_0"	45
"ABHD12_1"	65
"ABHD12_2"	333
"ABHD12B_0"	152
"ABHD12B_1"	168
"ABHD12B_2"	181
"ABHD13_0"	110
"ABHD13_1"	6
"ABHD14A_0"	229
"ABHD14A_1"	110
"ABHD14A_2"	3
"ABHD14A_3"	12390
"ABHD14A_4"	35
"ABHD14A_5"	57
"ABHD14B_0"	13
"ABHD14B_1"	105
"ABHD14B_2"	75
"ABHD14B_3"	27
"ABHD14B_4"	55
"ABHD15_0"	53
"ABHD15_1"	45
"ABHD15_2"	347
"ABHD15_3"	81
"ABHD16A_0"	19
"ABHD16A_1"	60
"ABHD16A_2"	271
"ABHD16A_3"	157
"ABHD16A_4"	35
"ABHD16A_5"	367
"ABHD16A_6"	62
"ABHD16B_0"	63
"ABHD16B_1"	265
"ABHD2_0"	20
"ABHD2_1"	80
"ABHD2_2"	51
"ABHD2_3"	256
"ABHD3_0"	161
"ABHD3_1"	133
"ABHD3_2"	166
"ABHD3_3"	99
"ABHD4_0"	214
"ABHD4_1"	8
"ABHD4_2"	28
"ABHD5_0"	263
"ABHD5_1"	26
"ABHD5_2"	78
"ABHD5_3"	29
"ABHD6_0"	44
"ABHD6_1"	78
"ABHD6_2"	184
"ABHD6_3"	1
"ABHD6_4"	12
"ABHD6_5"	44
"ABHD8_0"	219
"ABHD8_1"	241
"ABHD8_2"	2
"ABHD8_3"	443
"ABI1_0"	718
"ABI1_1"	2546
"ABI2_0"	96
"ABI2_1"	6
"ABI2_2"	593
"ABI2_3"	5
"ABI3_0"	69
"ABI3_1"	439
"ABI3_2"	146
"ABI3_3"	447
"ABI3BP_0"	42
"ABI3BP_1"	75
"ABI3BP_2"	27
"ABI3BP_3"	109
"ABL1_0"	323
"ABL1_1"	402
"ABL1_2"	75
"ABL2_0"	102
"ABL2_1"	770
"ABL2_2"	387
"ABL2_3"	244
"ABL2_4"	195
"ABL2_5"	1503
"ABL2_6"	728
"ABLIM1_0"	70
"ABLIM1_1"	128
"ABLIM1_2"	29
"ABLIM1_3"	54
"ABLIM1_4"	36
"ABLIM1_5"	14
"ABLIM1_6"	31
"ABLIM1_7"	100
"ABLIM2_0"	351
"ABLIM2_1"	635
"ABLIM2_2"	301
"ABLIM3_0"	301
"ABLIM3_1"	71
"ABP1_0"	18
"ABP1_1"	174
"ABP1_2"	87
"ABP1_3"	25
"ABR_0"	19
"ABR_1"	126
"ABR_2"	333
"ABR_3"	93
"ABR_4"	90
"ABR_5"	70
"ABR_6"	245
"ABR_7"	125
"ABR_8"	279
"ABRA_0"	58
"ABRA_1"	118
"ABRA_2"	75
"ABRA_3"	89
"ABRACL_0"	6
"ABRACL_1"	87
"ABRACL_2"	0
"ABRACL_3"	67
"ABT1_0"	7
"ABT1_1"	38
"ABT1_2"	120
"ABT1_3"	71
"ABTB1_0"	7
"ABTB1_1"	265
"ABTB1_2"	10
"ABTB1_3"	535
"ABTB1_4"	53
"ABTB2_0"	156
"ABTB2_1"	39
"ABTB2_2"	111
"AC003682.1_0"	183
"AC003682.1_1"	219
"AC003682.1_2"	41
"AC003682.1_3"	22
"AC004381.6_0"	56
"AC004381.6_1"	142
"AC004381.6_2"	194
"AC004381.6_3"	97
"AC005324.8-001_0"	74
"AC005324.8-001_1"	153
"AC005324.8-001_2"	65
"AC006276.7_0"	298
"AC006276.7_1"	126
"AC006276.7_2"	109
"AC007228.1_0"	78
"AC007228.1_1"	265
"AC007228.1_2"	14
"AC008073.5_0"	414
"AC008073.5_1"	33
"AC008073.5_2"	3
"AC008073.5_3"	6
"AC008073.5_4"	98
"AC008073.5_5"	3
"AC011443.1_0"	66
"AC011443.1_1"	124
"AC011443.1_2"	78
"AC011443.1_3"	133
"AC011498.1_0"	12
"AC011498.1_1"	213
"AC011498.1_2"	93
"AC013461.1_0"	229
"AC013461.1_1"	266
"AC013461.1_2"	285
"AC013461.1_3"	780
"AC021066.1_0"	31
"AC021066.1_1"	151
"AC022601.1_0"	763
"AC022601.1_1"	240
"AC024575.1_0"	187
"AC024575.1_1"	67
"AC024575.1_2"	20
"AC024575.1_3"	243
"AC026458.1_0"	54
"AC026458.1_1"	204
"AC026458.1_2"	79
"AC026458.1_3"	500
"AC068506.2_0"	488
"AC068506.2_1"	70
"AC068506.2_2"	75
"AC069154.2_0"	148
"AC069154.2_1"	266
"AC069257.9_0"	154
"AC069257.9_1"	182
"AC069257.9_2"	193
"AC069257.9_3"	237
"AC069257.9_4"	21
"AC087645.2_0"	20
"AC087645.2_1"	122
"AC087645.3_0"	36
"AC087645.3_1"	69
"AC091060.1_0"	14
"AC091060.1_1"	146
"AC091060.1_2"	9
"AC092031.1_0"	232
"AC092031.1_1"	19
"AC092031.1_2"	65
"AC100788.1_0"	119
"AC100788.1_1"	32
"AC100788.1_2"	229
"AC112502.1_0"	408
"AC112502.1_1"	70
"AC112502.1_2"	353
"AC114947.1_0"	466
"AC114947.1_1"	18
"AC114947.1_2"	21
"AC114947.1_3"	185
"AC118274.1_0"	157
"AC118274.1_1"	28
"AC118274.1_2"	6
"AC118274.1_3"	114
"AC133485.1_0"	150
"ACAA1_0"	19
"ACAA1_1"	94
"ACAA1_2"	51
"ACAA1_3"	507
"ACAA2_0"	204
"ACAA2_1"	38
"ACACA_0"	130
"ACACA_1"	150
"ACACA_2"	423
"ACACB_0"	21
"ACACB_1"	88
"ACACB_2"	351
"ACACB_3"	171
"ACAD10_0"	46
"ACAD10_1"	19
"ACAD10_2"	282
"ACAD10_3"	76
"ACAD11_0"	4
"ACAD11_1"	86
"ACAD11_2"	163
"ACAD11_3"	39
"ACAD8_0"	38
"ACAD8_1"	29
"ACAD8_2"	21
"ACAD9_0"	35
"ACAD9_1"	193
"ACAD9_2"	69
"ACAD9_3"	277
"ACADL_0"	40
"ACADL_1"	81
"ACADL_2"	102
"ACADL_3"	610
"ACADM_0"	298
"ACADM_1"	24
"ACADS_0"	246
"ACADS_1"	89
"ACADS_2"	24
"ACADSB_0"	59
"ACADSB_1"	5
"ACADSB_2"	83
"ACADVL_0"	30
"ACADVL_1"	1002
"ACADVL_2"	73
"ACADVL_3"	9
"ACADVL_4"	25
"ACADVL_5"	26
"ACAN_0"	16
"ACAN_1"	405
"ACAN_2"	171
"ACAP1_0"	303
"ACAP1_1"	778
"ACAP1_2"	19
"ACAP2_0"	236
"ACAP2_1"	106
"ACAP3_0"	121
"ACAP3_1"	552
"ACAP3_2"	26
"ACAP3_3"	354
"ACAP3_4"	41
"ACAP3_5"	20
"ACAT1_0"	32
"ACAT1_1"	18
"ACAT1_2"	49
"ACAT1_3"	200
"ACAT2_0"	303
"ACAT2_1"	294
"ACAT2_2"	274
"ACBD3_0"	4
"ACBD3_1"	15
"ACBD3_2"	47
"ACBD3_3"	18
"ACBD3_4"	23
"ACBD3_5"	33
"ACBD4_0"	60
"ACBD4_1"	237
"ACBD4_2"	263
"ACBD4_3"	74
"ACBD5_0"	238
"ACBD5_1"	547
"ACBD5_2"	11
"ACBD5_3"	452
"ACBD6_0"	221
"ACBD6_1"	12
"ACBD6_2"	50
"ACBD6_3"	19
"ACBD6_4"	7
"ACBD7_0"	145
"ACBD7_1"	17
"ACBD7_2"	135
"ACCS_0"	27
"ACCS_1"	34
"ACCS_2"	0
"ACCSL_0"	401
"ACCSL_1"	215
"ACCSL_2"	43
"ACD_0"	78
"ACD_1"	84
"ACD_2"	136
"ACD_3"	20
"ACE_0"	10
"ACE_1"	76
"ACE_2"	8
"ACE_3"	33
"ACE_4"	183
"ACE_5"	197
"ACE_6"	180
"ACE2_0"	100
"ACE2_1"	29
"ACE2_2"	11
"ACER1_0"	641
"ACER1_1"	534
"ACER1_2"	112
"ACER1_3"	71
"ACER2_0"	120
"ACER2_1"	9
"ACER3_0"	89
"ACER3_1"	94
"ACER3_2"	15
"ACHE_0"	454
"ACHE_1"	176
"ACHE_2"	104
"ACHE_3"	48
"ACIN1_0"	149
"ACIN1_1"	165
"ACIN1_2"	54
"ACIN1_3"	117
"ACIN1_4"	155
"ACIN1_5"	284
"ACIN1_6"	87
"ACLY_0"	45
"ACLY_1"	200
"ACLY_2"	378
"ACMSD_0"	2
"ACMSD_1"	21
"ACMSD_2"	49
"ACN9_0"	5795
"ACN9_1"	333
"ACN9_2"	1
"ACN9_3"	239
"ACO1_0"	61
"ACO1_1"	26
"ACO1_2"	223
"ACO2_0"	73
"ACO2_1"	4
"ACOT1_0"	138
"ACOT1_1"	3
"ACOT1_2"	16
"ACOT11_0"	600
"ACOT11_1"	411
"ACOT12_0"	126
"ACOT12_1"	42
"ACOT12_2"	215
"ACOT12_3"	219
"ACOT13_0"	47
"ACOT13_1"	68
"ACOT13_2"	128
"ACOT13_3"	358
"ACOT13_4"	25
"ACOT13_5"	99
"ACOT2_0"	3
"ACOT2_1"	5
"ACOT2_2"	386
"ACOT2_3"	56
"ACOT4_0"	23
"ACOT4_1"	852
"ACOT4_2"	108
"ACOT4_3"	104
"ACOT6_0"	188
"ACOT6_1"	65
"ACOT6_2"	382
"ACOT7_0"	1106
"ACOT7_1"	398
"ACOT7_2"	466
"ACOT8_0"	58
"ACOT8_1"	44
"ACOT8_2"	35
"ACOT9_0"	12
"ACOT9_1"	99
"ACOX1_0"	192
"ACOX1_1"	345
"ACOX1_2"	69
"ACOX2_0"	37
"ACOX2_1"	87
"ACOX2_2"	173
"ACOX2_3"	102
"ACOX2_4"	81
"ACOX3_0"	223
"ACOX3_1"	207
"ACOX3_2"	105
"ACOX3_3"	155
"ACOX3_4"	47
"ACOXL_0"	52
"ACOXL_1"	274
"ACOXL_2"	116
"ACP1_0"	96
"ACP1_1"	121
"ACP1_2"	5379
"ACP1_3"	245
"ACP2_0"	329
"ACP2_1"	130
"ACP2_2"	19
"ACP2_3"	28
"ACP5_0"	167
"ACP5_1"	100
"ACP5_2"	53
"ACP5_3"	490
"ACP6_0"	467
"ACP6_1"	73
"ACP6_2"	381
"ACP6_3"	16
"ACP6_4"	999
"ACPL2_0"	53
"ACPL2_1"	165
"ACPL2_2"	7
"ACPL2_3"	84
"ACPP_0"	208
"ACPP_1"	44
"ACPP_2"	79
"ACPT_0"	46
"ACPT_1"	316
"ACR_0"	182
"ACR_1"	23
"ACR_2"	385
"ACRBP_0"	86
"ACRBP_1"	40
"ACRBP_2"	260
"ACRBP_3"	104
"ACRC_0"	786
"ACRC_1"	181
"ACRV1_0"	97
"ACRV1_1"	189
"ACRV1_2"	607
"ACRV1_3"	123
"ACSBG1_0"	21
"ACSBG1_1"	103
"ACSBG1_2"	435
"ACSBG2_0"	30
"ACSBG2_1"	123
"ACSBG2_2"	22
"ACSBG2_3"	236
"ACSF2_0"	136
"ACSF2_1"	65
"ACSF2_2"	112
"ACSF2_3"	46
"ACSF3_0"	20
"ACSF3_1"	2
"ACSF3_2"	20
"ACSL1_0"	177
"ACSL1_1"	55
"ACSL1_2"	58
"ACSL1_3"	53
"ACSL1_4"	1
"ACSL1_5"	115
"ACSL3_0"	323
"ACSL3_1"	3
"ACSL4_0"	159
"ACSL4_1"	34
"ACSL4_2"	229
"ACSL4_3"	53
"ACSL5_0"	93
"ACSL5_1"	139
"ACSL5_2"	320
"ACSL6_0"	286
"ACSL6_1"	99
"ACSL6_2"	602
"ACSM1_0"	84
"ACSM1_1"	103
"ACSM1_2"	234
"ACSM2A_0"	0
"ACSM2A_1"	1
"ACSM2A_2"	0
"ACSM2B_0"	12
"ACSM2B_1"	0
"ACSM2B_2"	1
"ACSM3_0"	325
"ACSM3_1"	80
"ACSM3_2"	657
"ACSM4_0"	15
"ACSM4_1"	33
"ACSM4_2"	48
"ACSM5_0"	96
"ACSM5_1"	107
"ACSM5_2"	86
"ACSS1_0"	105
"ACSS1_1"	79
"ACSS1_2"	100
"ACSS1_3"	246
"ACSS1_4"	9
"ACSS1_5"	105
"ACSS1_6"	243
"ACSS2_0"	573
"ACSS2_1"	649
"ACSS2_2"	49
"ACSS2_3"	108
"ACSS3_0"	144
"ACSS3_1"	401
"ACSS3_2"	173
"ACSS3_3"	14
"ACTA1_0"	80
"ACTA1_1"	24
"ACTA1_2"	402
"ACTA1_3"	81
"ACTA1_4"	23
"ACTA1_5"	19
"ACTA2_0"	13
"ACTA2_1"	151039
"ACTA2_2"	1
"ACTB_0"	229
"ACTB_1"	80
"ACTB_2"	164
"ACTBL2_0"	11
"ACTBL2_1"	273
"ACTBL2_2"	200
"ACTBL2_3"	41
"ACTBL2_4"	3
"ACTC1_0"	150
"ACTC1_1"	76
"ACTC1_2"	16
"ACTC1_3"	33
"ACTG1_0"	10
"ACTG1_1"	6
"ACTG1_2"	0
"ACTG1_3"	112
"ACTG2_0"	494
"ACTG2_1"	102
"ACTL10_0"	15
"ACTL10_1"	89
"ACTL6A_0"	25
"ACTL6A_1"	43
"ACTL6A_2"	74
"ACTL6A_3"	39
"ACTL6B_0"	2
"ACTL6B_1"	35
"ACTL7A_0"	578
"ACTL7B_0"	149
"ACTL8_0"	67
"ACTL8_1"	43
"ACTL8_2"	84
"ACTL8_3"	229
"ACTL8_4"	256
"ACTL8_5"	180
"ACTL9_0"	40
"ACTL9_1"	86
"ACTN1_0"	1394
"ACTN1_1"	518
"ACTN1_2"	264
"ACTN2_0"	7
"ACTN2_1"	3
"ACTN2_2"	40
"ACTN2_3"	99
"ACTN4_0"	8
"ACTN4_1"	207
"ACTN4_2"	206
"ACTR10_0"	31
"ACTR10_1"	0
"ACTR1A_0"	108
"ACTR1A_1"	29
